成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
09:30:03,3.32,0.0,277,91873.0,买盘
09:30:06,3.31,-0.009999999999999787,1012,334758.0,中性盘
09:30:09,3.31,0.0,581,191844.0,买盘
09:30:12,3.3,-0.010000000000000231,1069,353552.0,卖盘
09:30:15,3.3,0.0,369,121897.0,卖盘
09:30:18,3.3,0.0,307,101339.0,卖盘
09:30:21,3.3,0.0,214,70621.0,卖盘
09:30:24,3.3,0.0,902,297541.0,买盘
09:30:27,3.3,0.0,901,297401.0,卖盘
09:30:30,3.3,0.0,145,47850.0,买盘
09:30:33,3.3,0.0,957,316206.0,卖盘
09:30:36,3.31,0.010000000000000231,319,105447.0,买盘
09:30:41,3.3,-0.010000000000000231,280,92400.0,卖盘
09:30:45,3.3,0.0,180,59400.0,买盘
09:30:48,3.29,-0.009999999999999787,238,78539.0,卖盘
09:30:53,3.29,0.0,380,125018.0,卖盘
09:30:56,3.29,0.0,217,71393.0,买盘
09:31:00,3.28,-0.010000000000000231,182,59734.0,卖盘
09:31:03,3.28,0.0,369,121133.0,卖盘
09:31:06,3.28,0.0,128,41993.0,卖盘
09:31:09,3.27,-0.009999999999999787,492,161366.0,卖盘
09:31:12,3.27,0.0,484,158545.51999999955,卖盘
09:31:15,3.29,0.020000000000000018,2310,759630.0,买盘
09:31:18,3.29,0.0,538,177145.0,卖盘
09:31:21,3.29,0.0,307,101085.0,卖盘
09:31:24,3.3,0.009999999999999787,137,45153.0,买盘
09:31:27,3.3,0.0,773,254992.0,买盘
09:31:30,3.3,0.0,722,238276.0,买盘
09:31:33,3.3,0.0,113,37337.0,卖盘
09:31:36,3.3,0.0,377,124490.0,卖盘
09:31:39,3.31,0.010000000000000231,2046,676501.0,买盘
09:31:42,3.31,0.0,202,66862.0,卖盘
09:31:47,3.31,0.0,285,94335.0,卖盘
09:31:53,3.31,0.0,97,32108.0,卖盘
09:31:57,3.31,0.0,99,32770.0,卖盘
09:31:59,3.31,0.0,175,58000.0,买盘
09:32:06,3.3,-0.020000000000000018,1545,510927.0,卖盘
09:32:09,3.31,0.010000000000000231,559,184977.0,买盘
09:32:15,3.31,0.0,90,29821.0,买盘
09:32:18,3.31,0.0,268,88710.0,卖盘
09:32:21,3.31,0.0,196,64874.0,买盘
09:32:25,3.31,0.0,264,87384.0,买盘
09:32:27,3.31,0.0,100,33100.0,卖盘
09:32:30,3.31,0.0,149,49291.0,中性盘
09:32:33,3.31,0.0,11,3640.0,买盘
09:32:37,3.31,0.0,294,97266.0,买盘
09:32:40,3.31,0.0,105,34755.0,买盘
09:32:44,3.31,0.0,112,37044.0,买盘
