,证券简称,20210908,20210907,incr,quant
601669.SS,中国电建,2615074240,2169557194.0,0.20534929765027443,445517046.0
002202.SZ,金风科技,2690796154,2422786029.0,0.11062063335020156,268010125.0
002241.SZ,歌尔股份,3824497599,3592527198.0,0.06457025603846245,231970401.0
600519.SS,贵州茅台,25088176341,24877058626.0,0.00848644199356241,211117715.0
002797.SZ,第一创业,2167791332,1984312535.0,0.09246466661059527,183478797.0
601166.SS,兴业银行,11931331318,11752267302.0,0.015236550650062908,179064016.0
000681.SZ,视觉中国,637315128,470476699.0,0.354615710734699,166838429.0
601618.SS,中国中冶,1847572756,1682244242.0,0.09827854355051491,165328514.0
601985.SS,中国核电,1307389244,1146841177.0,0.13999154392064517,160548067.0
002230.SZ,科大讯飞,9012949553,8852662589.0,0.01810607400751585,160286964.0
600075.SS,新疆天业,1019113076,863311991.0,0.18046903856800478,155801085.0
300124.SZ,汇川技术,1694077901,1538322415.0,0.10125022198288636,155755486.0
600958.SS,东方证券,3272101988,3122207237.0,0.048009225404277656,149894751.0
000155.SZ,川能动力,1743843827,1594129641.0,0.09391594143251991,149714186.0
601012.SS,隆基股份,9610774728,9469566965.0,0.014911744488624645,141207763.0
601222.SS,林洋能源,1252127899,1112390093.0,0.12561942692526307,139737806.0
600161.SS,天坛生物,1783076553,1644342179.0,0.08437074458819205,138734374.0
600089.SS,特变电工,5434265764,5296875396.0,0.025938002639018576,137390368.0
002466.SZ,天齐锂业,6401466033,6264456545.0,0.0218709295875561,137009488.0
002475.SZ,立讯精密,3965629663,3829043484.0,0.035671096337959396,136586179.0
