,证券简称,20210909,20210908,incr,quant,deviation,close
003035.SZ,南网能源,181703658,119115201.0,0.5254447499106347,62588457.0,0.598092083692259,9.550000190734863
003039.SZ,顺控发展,95874176,66755597.0,0.4361968180735467,29118579.0,4.605985852364185,37.13999938964844
601890.SS,亚星锚链,369079408,267468610.0,0.3798980299033969,101610798.0,1.2340347365700026,8.880000114440918
300875.SZ,捷强装备,124246868,90817111.0,0.3680997626097135,33429757.0,5.694326905823365,74.94999694824219
601003.SS,柳钢股份,113717880,84663784.0,0.3431702981761364,29054096.0,0.5986232934495302,8.1899995803833
600916.SS,中国黄金,80621668,60502971.0,0.3325241168735333,20118697.0,0.5738810060303648,15.529999732971191
603833.SS,欧派家居,86755357,67284122.0,0.2893882601306738,19471235.0,10.086448314337924,146.2899932861328
603299.SS,苏盐井神,205178223,160687950.0,0.2768737357094917,44490273.0,0.8598620517637259,10.09000015258789
600803.SS,新奥股份,384858188,311076480.0,0.2371818917328625,73781708.0,2.3833401932960494,21.850000381469727
603129.SS,春风动力,35385738,28874823.0,0.2254876159760355,6510915.0,22.120770247502378,123.9800033569336
002167.SZ,东方锆业,303065820,248440822.0,0.2198712657616308,54624998.0,0.9843586134884588,10.869999885559082
600507.SS,方大特钢,390843093,322316355.0,0.2126070766716135,68526738.0,1.2542777447547373,10.270000457763672
600231.SS,凌钢股份,114635689,95180655.0,0.2044011359241013,19455034.0,0.21119786255517659,3.950000047683716
600871.SS,石化油服,252094935,209337118.0,0.2042533947562992,42757817.0,0.10553457459368754,2.6500000953674316
600740.SS,山西焦化,720817699,600069784.0,0.2012231214094926,120747915.0,2.88795412864485,11.390000343322754
600569.SS,安阳钢铁,233584482,194474111.0,0.2011083675811225,39110371.0,0.18838489992230997,4.420000076293945
600307.SS,酒钢宏兴,573084956,480670068.0,0.1922626228517312,92414888.0,0.15957939461665308,3.490000009536743
000912.SZ,泸天化,158033097,132934332.0,0.1888057405667031,25098765.0,0.7542110668680673,6.380000114440918
600563.SS,法拉电子,403076012,340690496.0,0.1831149290410496,62385516.0,31.788148668625475,172.0
600691.SS,阳煤化工,438340216,370565672.0,0.1828948257247098,67774544.0,0.45392406308045774,5.820000171661377
