,证券简称,20210910,20210909,incr,quant,deviation,close,mean
600618.SS,氯碱化工,308653063,202538281.0,0.5239245710789853,106114782.0,3.9621685738448944,17.510000228881836,11.680499982833862
300969.SZ,恒帅股份,90990394,64350762.0,0.4139753931740544,26639632.0,18.34474459901472,57.75,47.17000045776367
600563.SS,法拉电子,540246177,403076012.0,0.3403084304605057,137170165.0,31.174030552962734,176.0,179.65800094604492
300774.SZ,倍杰特,34474385,28326751.0,0.2170257365555266,6147634.0,1.4212658829769234,16.770000457763672,17.58900022506714
000968.SZ,蓝焰控股,334902515,279397438.0,0.1986599354572464,55505077.0,3.287671148061677,12.100000381469727,8.64500014781952
301007.SZ,德迈仕,26055562,21825612.0,0.1938067074591081,4229950.0,1.732991238928196,20.610000610351562,19.455499935150147
601869.SS,长飞光纤,132781297,111459454.0,0.1912968549083329,21321843.0,5.506212415266431,32.58000183105469,27.24850015640259
600761.SS,安徽合力,364882818,308730544.0,0.1818811746725002,56152274.0,0.7417113028662609,11.34000015258789,10.745999956130982
600569.SS,安阳钢铁,275609535,233584482.0,0.1799137196108773,42025053.0,0.2739133062221195,4.179999828338623,4.0482530951499935
300113.SZ,顺网科技,674000929,579090497.0,0.1638956820940544,94910432.0,2.091306681651213,13.989999771118164,11.226999950408935
002756.SZ,永兴材料,901608859,776722560.0,0.1607862387826097,124886299.0,19.97332043250168,107.19999694824219,96.61699981689453
002233.SZ,塔牌集团,591689670,513202345.0,0.15293641146554,78487325.0,1.6785288968955874,13.220000267028809,10.750499963760376
002167.SZ,东方锆业,349409284,303065820.0,0.1529155085849007,46343464.0,1.0908395103714057,11.09000015258789,10.30649995803833
601598.SS,中国外运,224243498,196845926.0,0.1391828246422535,27397572.0,0.8118244387487525,5.75,5.025499963760376
002266.SZ,浙富控股,582453780,512770941.0,0.135894672315294,69682839.0,0.7015204742310035,7.230000019073486,6.5015000104904175
600916.SS,中国黄金,91509967,80621668.0,0.1350542511722778,10888299.0,0.8443524150774486,15.920000076293945,14.67350001335144
000852.SZ,石化机械,143456653,126669447.0,0.1325276647019704,16787206.0,1.8873261999487247,7.75,5.469999980926514
601077.SS,渝农商行,220080530,194346238.0,0.132414665006276,25734292.0,0.14420481036475652,4.050000190734863,3.9075000047683717
000009.SZ,中国宝安,1847490593,1632452606.0,0.1317269403164529,215037987.0,4.615480024875819,21.729999542236328,25.256118297576904
603129.SS,春风动力,39917984,35385738.0,0.1280811495297908,4532246.0,21.25270768962657,125.0,125.83150062561035
