,证券简称,20211224,20211223,incr,quant
300750.SZ,宁德时代,6937946877,5973932648.0,0.1613701201205775,964014229.0
002475.SZ,立讯精密,2985637267,2683522633.0,0.11258136237973737,302114634.0
600905.SS,三峡能源,2732339115,2561406870.0,0.0667337341060541,170932245.0
601225.SS,陕西煤业,3151049683,3021674355.0,0.042815774567474874,129375328.0
002385.SZ,大北农,2975632615,2859491192.0,0.04061611496651185,116141423.0
601166.SS,兴业银行,12283366317,12210608771.0,0.005958551892416564,72757546.0
601888.SS,中国中免,6189840169,6119607813.0,0.011476610617236593,70232356.0
300065.SZ,海兰信,1122083441,1052877499.0,0.06573028872374076,69205942.0
600141.SS,兴发集团,2471778681,2404632618.0,0.027923626460597317,67146063.0
601012.SS,隆基股份,10371597184,10307850728.0,0.0061842626248787,63746456.0
002714.SZ,牧原股份,12093440149,12036751906.0,0.0047095963630972015,56688243.0
002456.SZ,欧菲光,1478532193,1423229288.0,0.03885734046248768,55302905.0
000960.SZ,锡业股份,2010516825,1957127749.0,0.027279300509268856,53389076.0
601117.SS,中国化学,1422718494,1370170771.0,0.038351221695999804,52547723.0
000811.SZ,冰轮环境,621899774,570564471.0,0.08997283498922948,51335303.0
002049.SZ,紫光国微,1384365831,1333730431.0,0.03796524306792248,50635400.0
600418.SS,江淮汽车,2576236427,2526700458.0,0.019605002580800557,49535969.0
002236.SZ,大华股份,1655713208,1608135590.0,0.02958557617644675,47577618.0
002603.SZ,以岭药业,1005366051,960313299.0,0.04691463926086903,45052752.0
002565.SZ,顺灏股份,273962200,229220519.0,0.1951905579622215,44741681.0
