日期,中证500
2020-12-16,6235.44
2020-12-15,6265.58
2020-12-14,6259.02
2020-12-11,6209.43
2020-12-10,6320.1
2020-12-09,6307.22
2020-12-08,6423.65
2020-12-07,6424.68
2020-12-04,6464.73
2020-12-03,6440.88
2020-12-02,6434.98
2020-12-01,6426.62
2020-11-30,6320.94
2020-11-27,6351.61
2020-11-26,6334.3
2020-11-25,6350.37
2020-11-24,6475.19
2020-11-23,6472.93
2020-11-20,6422.99
2020-11-19,6360.6
2020-11-18,6341.01
2020-11-17,6336.94
2020-11-16,6387.37
2020-11-13,6306.97
2020-11-12,6315.49
2020-11-11,6294.61
2020-11-10,6373.09
2020-11-09,6421.65
2020-11-06,6301.25
2020-11-05,6351.98
2020-11-04,6234.16
2020-11-03,6241.77
2020-11-02,6143.12
2020-10-30,6111.48
2020-10-29,6255.19
2020-10-28,6246.0
2020-10-27,6221.34
2020-10-26,6214.38
2020-10-23,6213.26
2020-10-22,6317.14
2020-10-21,6350.01
2020-10-20,6423.11
2020-10-19,6358.32
2020-10-16,6428.68
2020-10-15,6460.04
2020-10-14,6508.37
2020-10-13,6551.4
2020-10-12,6541.18
2020-10-09,6357.97
2020-12-17,6308.9
2020-12-18,6291.92
2020-12-21,6398.6
2020-12-22,6250.06
2020-12-23,6307.6
2020-12-25,6278.5
2020-12-24,6205.22
2020-12-28,6244.48
2020-12-29,6199.85
2020-12-30,6269.25
2020-12-31,6367.11
2021-01-04,6482.79
2021-01-05,6539.73
2021-01-06,6528.14
2021-01-07,6538.12
2021-01-08,6557.6
2021-01-11,6455.4
2021-01-12,6543.23
2021-01-13,6496.91
2021-01-15,6417.5
2021-01-14,6439.89
2021-01-18,6514.46
2021-01-19,6476.37
2021-01-20,6535.42
2021-01-21,6622.5
2021-01-22,6637.81
2021-01-25,6645.31
2021-01-26,6532.96
2021-01-27,6557.16
2021-01-28,6414.38
2021-01-29,6346.14
2021-02-02,6454.79
2021-02-01,6393.28
2021-02-03,6399.33
2021-02-04,6328.79
2021-02-08,6323.16
2021-02-05,6239.87
2021-02-10,6525.17
2021-02-09,6457.88
2021-02-18,6614.54
2021-02-19,6703.48
2021-02-23,6631.23
2021-02-22,6657.06
2021-02-24,6536.19
2021-02-25,6499.15
2021-02-26,6364.35
2021-03-01,6488.44
2021-03-02,6433.33
2021-03-03,6524.75
2021-03-04,6401.99
2021-03-05,6403.5
2021-03-08,6256.41
2021-03-09,6108.0
2021-03-10,6062.26
2021-03-11,6213.83
2021-03-15,6173.87
2021-03-12,6222.38
2021-03-16,6195.24
2021-03-17,6225.36
2021-03-18,6273.86
2021-03-19,6206.6
2021-03-22,6305.69
2021-03-23,6219.17
2021-03-24,6142.54
2021-03-26,6251.79
2021-03-25,6157.41
2021-03-29,6254.94
2021-03-30,6280.36
2021-03-31,6254.07
2021-04-02,6326.61
2021-04-01,6311.66
2021-04-06,6343.1
2021-04-09,6335.24
2021-04-08,6356.75
2021-04-07,6348.08
2021-04-12,6226.42
2021-04-13,6209.78
2021-04-14,6277.21
2021-04-16,6339.59
2021-04-15,6276.46
2021-04-19,6425.26
2021-04-20,6428.54
2021-04-22,6445.47
2021-04-21,6420.26
2021-04-23,6462.76
2021-04-26,6442.65
2021-04-28,6489.74
2021-04-27,6446.28
2021-04-30,6485.71
2021-04-29,6491.93
2021-05-07,6444.44
2021-05-06,6489.35
2021-05-10,6475.99
2021-05-11,6456.04
2021-05-12,6512.05
2021-05-13,6439.03
2021-05-14,6525.8
2021-05-17,6578.14
2021-05-18,6599.6
2021-05-19,6584.39
2021-05-20,6548.71
2021-05-21,6527.86
2021-05-24,6544.12
2021-05-25,6619.67
2021-05-26,6628.21
2021-05-27,6685.41
2021-05-28,6668.17
2021-05-31,6728.99
2021-06-01,6739.76
2021-06-02,6681.43
2021-06-03,6667.73
2021-06-04,6693.06
2021-06-07,6721.5
2021-06-08,6684.56
2021-06-09,6692.9
2021-06-10,6765.64
2021-06-15,6663.66
2021-06-11,6725.92
2021-06-16,6566.29
2021-06-17,6616.17
2021-06-18,6657.76
2021-06-21,6707.18
2021-06-22,6739.79
2021-06-23,6789.95
2021-06-24,6754.87
2021-06-25,6813.41
2021-06-28,6828.52
