日期,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2021-01-29,-107.35亿,-6.24%,-54.46亿,-3.16%,-52.89亿,-3.07%,10.14亿,0.59%,97.21亿,5.65%
2021-01-28,-123.67亿,-7.07%,-67.28亿,-3.85%,-56.39亿,-3.23%,12.43亿,0.71%,111.24亿,6.36%
2021-01-27,-22.50亿,-1.29%,-7.73亿,-0.44%,-14.77亿,-0.85%,-3307.44万,-0.02%,22.83亿,1.31%
2021-01-26,-139.11亿,-7.25%,-79.42亿,-4.14%,-59.68亿,-3.11%,27.65亿,1.44%,111.45亿,5.81%
2021-01-25,-70.78亿,-3.17%,-19.72亿,-0.88%,-51.06亿,-2.28%,8.96亿,0.40%,61.81亿,2.76%
2021-01-22,-86.43亿,-4.26%,-40.23亿,-1.98%,-46.20亿,-2.28%,8.09亿,0.40%,78.34亿,3.86%
2021-01-21,13.96亿,0.74%,34.89亿,1.84%,-20.93亿,-1.11%,-20.88亿,-1.10%,6.93亿,0.37%
2021-01-20,-14.57亿,-0.95%,3.94亿,0.26%,-18.52亿,-1.21%,-8.65亿,-0.56%,23.22亿,1.51%
2021-01-19,-83.93亿,-4.81%,-43.00亿,-2.46%,-40.93亿,-2.34%,11.88亿,0.68%,72.05亿,4.13%
2021-01-18,12.49亿,0.73%,21.62亿,1.27%,-9.13亿,-0.54%,-13.45亿,-0.79%,9622.50万,0.06%
2021-01-15,-63.96亿,-3.83%,-27.33亿,-1.64%,-36.63亿,-2.19%,2070.81万,0.01%,63.76亿,3.82%
2021-01-14,-77.32亿,-3.89%,-35.95亿,-1.81%,-41.37亿,-2.08%,4.23亿,0.21%,73.09亿,3.68%
2021-01-13,-89.37亿,-4.01%,-38.57亿,-1.73%,-50.81亿,-2.28%,7.89亿,0.35%,81.48亿,3.65%
2021-01-12,-27.10亿,-1.36%,-5.24亿,-0.26%,-21.86亿,-1.10%,-763.44万,0.00%,27.18亿,1.37%
2021-01-11,-113.21亿,-5.19%,-59.02亿,-2.71%,-54.19亿,-2.49%,20.24亿,0.93%,92.97亿,4.27%
2021-01-08,-74.09亿,-3.58%,-31.31亿,-1.51%,-42.78亿,-2.07%,-2.61亿,-0.13%,76.70亿,3.70%
2021-01-07,-77.66亿,-3.54%,-23.78亿,-1.08%,-53.88亿,-2.46%,-9.31亿,-0.42%,86.98亿,3.97%
2021-01-06,-68.78亿,-3.29%,-25.88亿,-1.24%,-42.90亿,-2.05%,5.27亿,0.25%,63.51亿,3.03%
2021-01-05,-58.78亿,-2.59%,-24.26亿,-1.07%,-34.52亿,-1.52%,-1.01亿,-0.04%,59.79亿,2.63%
2021-01-04,18.20亿,0.86%,23.72亿,1.12%,-5.52亿,-0.26%,-8.77亿,-0.42%,-9.43亿,-0.45%
2020-12-31,20.62亿,1.18%,24.08亿,1.38%,-3.46亿,-0.20%,-20.41亿,-1.17%,-2069.84万,-0.01%
2020-12-30,4.18亿,0.28%,20.88亿,1.41%,-16.70亿,-1.13%,-11.25亿,-0.76%,7.07亿,0.48%
2020-12-29,-78.08亿,-5.02%,-37.57亿,-2.41%,-40.51亿,-2.60%,2.93亿,0.19%,75.15亿,4.83%
2020-12-28,-59.53亿,-3.71%,-28.69亿,-1.79%,-30.84亿,-1.92%,8.71亿,0.54%,50.82亿,3.17%
2020-12-25,-5.49亿,-0.38%,16.29亿,1.13%,-21.77亿,-1.51%,-21.97亿,-1.53%,27.46亿,1.91%
2020-12-24,-91.01亿,-6.16%,-41.91亿,-2.84%,-49.11亿,-3.33%,13.55亿,0.92%,77.47亿,5.25%
2020-12-23,-17.26亿,-1.04%,9.78亿,0.59%,-27.04亿,-1.63%,-19.51亿,-1.17%,36.77亿,2.21%
