日期,沪深300,融资余额
2020-12-21,5046.84,14777.0
2020-12-18,4999.97,14716.0
2020-12-17,5017.48,14703.0
2020-12-16,4953.87,14675.0
2020-12-15,4945.1,14669.0
2020-12-14,4934.84,14668.0
2020-12-11,4889.63,14639.0
2020-12-10,4940.52,14686.0
2020-12-09,4942.7,14692.0
2020-12-08,5009.88,14741.0
2020-12-07,5022.24,14740.0
2020-12-04,5065.92,14691.0
2020-12-03,5057.06,14701.0
2020-12-02,5067.14,14694.0
2020-12-01,5067.1,14630.0
2020-11-30,4960.25,14572.0
2020-11-27,4980.77,14525.0
2020-11-26,4919.59,14574.0
2020-11-25,4910.7,14605.0
2020-11-24,4974.29,14587.0
2020-11-23,5005.03,14542.0
2020-11-20,4943.29,14452.0
2020-11-19,4927.99,14464.0
2020-11-18,4891.67,14474.0
2020-11-17,4894.79,14459.0
2020-11-16,4904.17,14444.0
2020-11-13,4856.85,14389.0
2020-11-12,4908.46,14396.0
2020-11-11,4904.9,14400.0
2020-11-10,4953.88,14417.0
2020-11-09,4981.35,14393.0
2020-11-06,4885.72,14285.0
2020-11-05,4885.11,14285.0
2020-11-04,4813.66,14230.0
2020-11-03,4777.56,14194.0
2020-11-02,4720.83,14164.0
2020-10-30,4695.33,14149.0
2020-10-29,4772.92,14225.0
2020-10-28,4737.27,14199.0
2020-10-27,4699.28,14172.0
2020-10-26,4691.24,14171.0
2020-10-23,4718.49,14196.0
2020-10-22,4777.98,14293.0
2020-10-21,4792.83,14275.0
2020-10-20,4793.47,14284.0
2020-10-19,4755.49,14257.0
2020-10-16,4791.68,14238.0
2020-10-15,4798.74,14279.0
2020-10-14,4807.1,14268.0
2020-10-13,4839.2,14201.0
2020-10-12,4823.16,14114.0
2020-10-09,4681.14,13995.0
2020-12-22,4964.77,14785.0
2020-12-23,5007.12,14824.0
2020-12-25,5042.01,14829.0
2020-12-24,5000.02,14825.0
2020-12-28,5064.41,14858.0
2020-12-29,5042.94,14795.0
2020-12-30,5113.71,14831.0
2020-12-31,5211.29,14820.0
2021-01-04,5267.72,15057.0
2021-01-05,5368.5,15156.0
2021-01-06,5417.67,15213.0
2021-01-07,5513.66,15275.0
2021-01-08,5495.43,15264.0
2021-01-11,5441.16,15289.0
2021-01-12,5596.35,15371.0
2021-01-13,5577.97,15402.0
2021-01-15,5458.08,15365.0
2021-01-14,5470.46,15387.0
2021-01-18,5518.52,15445.0
2021-01-19,5437.52,15481.0
2021-01-20,5476.43,15529.0
2021-01-21,5564.97,15610.0
2021-01-22,5569.78,15603.0
2021-01-25,5625.92,15665.0
2021-01-26,5512.97,15603.0
2021-01-27,5528.0,15596.0
2021-01-28,5377.14,15552.0
2021-01-29,5351.96,15402.0
2021-02-02,5501.09,15383.0
2021-02-01,5417.65,15385.0
2021-02-03,5485.2,15370.0
2021-02-04,5473.95,15281.0
2021-02-05,5483.41,15177.0
2021-02-08,5564.56,15145.0
2021-02-10,5807.72,14988.0
2021-02-09,5686.25,15168.0
2021-02-18,5768.38,15217.0
2021-02-19,5778.84,15277.0
2021-02-23,5579.67,15387.0
2021-02-22,5597.33,15404.0
2021-02-24,5437.57,15394.0
2021-02-25,5469.56,15376.0
2021-02-26,5336.76,15304.0
2021-03-01,5418.78,15341.0
2021-03-02,5349.63,15362.0
2021-03-03,5452.21,15361.0
2021-03-04,5280.71,15327.0
2021-03-05,5262.8,15263.0
2021-03-08,5080.02,15249.0
2021-03-09,4971.0,15167.0
2021-03-10,5003.61,15100.0
2021-03-11,5128.22,15125.0
2021-03-15,5035.54,15116.0
2021-03-12,5146.38,15078.0
2021-03-16,5079.36,15099.0
2021-03-17,5100.86,15108.0
2021-03-18,5141.77,15093.0
2021-03-19,5007.09,15075.0
2021-03-22,5057.15,15127.0
2021-03-23,5009.25,15113.0
2021-03-24,4928.69,15118.0
2021-03-25,4926.35,15079.0
2021-03-26,5037.99,15056.0
2021-03-29,5046.88,15073.0
2021-03-30,5094.73,15075.0
2021-03-31,5048.36,15097.0
