1,2020-03-03,27.47万,0.04万,5.20万,-5.16万,0.00,0.00,0.00,0.00,27.47万
2,2020-03-02,32.63万,5.20万,0.00万,5.20万,0.00,0.00,0.00,0.00,32.63万
3,2020-02-28,27.43万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,27.43万
4,2020-02-27,27.43万,0.00万,0.33万,-0.33万,0.00,0.00,0.00,0.00,27.43万
5,2020-02-26,27.76万,8.87万,1.44万,7.42万,0.00,0.00,0.00,0.00,27.76万
6,2020-02-25,20.34万,3.19万,0.00万,3.19万,0.00,0.00,0.00,0.00,20.34万
7,2020-02-24,17.14万,2.08万,0.00万,2.08万,0.00,0.00,0.00,0.00,17.14万
8,2020-02-21,15.07万,0.36万,0.00万,0.36万,0.00,0.00,0.00,0.00,15.07万
9,2020-02-20,14.70万,0.00万,30.62万,-30.62万,0.00,0.00,0.00,0.00,14.70万
10,2020-02-19,45.32万,2.05万,2.05万,0.00万,0.00,0.00,0.00,0.00,45.32万
11,2020-02-18,45.32万,0.00万,60.40万,-60.40万,0.00,0.00,0.00,0.00,45.32万
12,2020-02-17,105.72万,0.00万,29.98万,-29.98万,0.00,0.00,0.00,0.00,105.72万
13,2020-02-14,135.70万,29.98万,0.00万,29.98万,0.00,0.00,0.00,0.00,135.70万
14,2020-02-13,105.72万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,105.72万
15,2020-02-12,105.72万,29.36万,3.03万,26.33万,0.00,0.00,0.00,0.00,105.72万
16,2020-02-11,79.40万,4.20万,0.10万,4.10万,0.00,0.00,0.00,0.00,79.40万
17,2020-02-10,75.29万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,75.29万
18,2020-02-07,75.29万,0.00万,104.78万,-104.78万,0.00,0.00,0.00,0.00,75.29万
19,2020-02-06,180.07万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,180.07万
20,2020-02-05,180.07万,0.47万,0.97万,-0.50万,0.00,0.00,0.00,0.00,180.07万
21,2020-02-04,180.57万,105.62万,0.92万,104.70万,0.00,0.00,0.00,0.00,180.57万
22,2020-02-03,75.87万,1.48万,0.01万,1.47万,0.00,0.00,0.00,0.00,75.87万
23,2020-01-23,74.40万,30.39万,0.00万,30.39万,0.00,0.00,0.00,0.00,74.40万
24,2020-01-22,44.01万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,44.01万
25,2020-01-21,44.01万,31.29万,0.00万,31.29万,0.00,0.00,0.00,0.00,44.01万
26,2020-01-20,12.72万,0.00万,0.98万,-0.98万,0.00,0.00,0.00,0.00,12.72万
27,2020-01-17,13.70万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,13.70万
28,2020-01-16,13.70万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,13.70万
29,2020-01-15,13.70万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,13.70万
30,2020-01-14,13.70万,0.00万,0.70万,-0.70万,0.00,0.00,0.00,0.00,13.70万
31,2020-01-13,14.40万,1.42万,0.00万,1.42万,0.00,0.00,0.00,0.00,14.40万
32,2020-01-10,12.98万,0.52万,0.52万,0.00万,0.00,0.00,0.00,0.00,12.98万
33,2020-01-09,12.98万,0.01万,0.00万,0.01万,0.00,0.00,0.00,0.00,12.98万
34,2020-01-08,12.97万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,12.97万
35,2020-01-07,12.97万,10.72万,0.00万,10.72万,0.00,0.00,0.00,0.00,12.97万
