日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2017-07-12,2662857,21782,87,36200,0,0
2017-07-13,2662857,0,0,36200,0,0
2017-07-14,2654231,2801,11427,36200,0,0
2017-07-17,2684916,30686,1,36200,0,0
2017-07-18,3799255,1158082,43743,36200,0,0
2017-07-19,2631700,5215,1172770,36200,0,0
2017-07-20,2590490,0,41210,36200,0,0
2017-07-21,2608791,20275,1974,36200,0,0
2017-07-24,2610009,1218,0,36200,0,0
2017-07-25,2621668,16520,4861,36200,0,0
2017-07-26,2694481,72813,0,36200,0,0
2017-07-27,2623921,43946,114506,36200,0,0
2017-07-28,2623921,0,0,36200,0,0
2017-07-31,2579903,0,44018,36200,0,0
2017-08-01,2681773,101870,0,36200,0,0
2017-08-02,2674136,409,8046,36200,0,0
2017-08-03,2706534,32398,0,36200,0,0
2017-08-04,2714626,8092,0,36200,0,0
2017-08-07,2795370,121146,40402,36200,0,0
2017-08-08,2746878,0,48492,36200,0,0
2017-08-09,2884765,193492,55605,36200,0,0
2017-08-10,2827028,45728,103465,36200,0,0
2017-08-11,3337913,553479,42594,36200,0,0
2017-08-14,3541105,237053,33861,36200,0,0
2017-08-15,3501531,109856,149430,36200,0,0
2017-08-16,4769202,1267671,0,36200,0,0
2017-08-17,4979719,210517,0,36200,0,0
2017-08-18,4935125,0,44594,36200,0,0
2017-08-21,5021248,411117,324994,36200,0,0
2017-08-22,4990757,0,30491,36200,0,0
2017-08-23,4992387,1630,0,36200,0,0
2017-08-24,5049933,59786,2240,36200,0,0
2017-08-25,5191423,158304,16814,36200,0,0
2017-08-28,5337137,620445,474731,36200,0,0
2017-08-29,5352797,65700,50040,36200,0,0
2017-08-30,5341762,20815,31850,36200,0,0
2017-08-31,5343784,182668,180646,36200,0,0
2017-09-01,5430286,88524,2022,36200,0,0
2017-09-04,5426971,0,3315,36200,0,0
2017-09-05,5426971,0,0,36200,0,0
2017-09-06,5426971,0,0,36200,0,0
2017-09-07,5344454,5445,87962,36200,0,0
2017-09-08,5344454,0,0,36200,0,0
2017-09-11,5334278,0,10176,36200,0,0
2017-09-12,5361325,27047,0,36200,0,0
2017-09-13,5334278,0,27047,36200,0,0
2017-09-14,5350147,15869,0,36200,0,0
2017-09-15,5349109,0,1038,36200,0,0
2017-09-18,5349109,0,0,36200,0,0
2017-09-19,5387207,41550,3452,36200,0,0
2017-09-20,5437279,50072,0,36200,0,0
2017-09-21,5387260,0,50019,36200,0,0
2017-09-22,5384666,0,2594,36200,0,0
2017-09-25,5384666,17401,17401,36200,0,0
2017-09-26,5384666,0,0,36200,0,0
2017-09-27,5384666,0,0,36200,0,0
2017-09-28,5344349,415,40732,36200,0,0
2017-09-29,5280586,16696,80459,36200,0,0
2017-10-09,5296258,23700,8028,36200,0,0
2017-10-10,5282826,2526,15958,36200,0,0
2017-10-11,5283277,2962,2511,36200,0,0
2017-10-12,5291737,8460,0,36200,0,0
2017-10-13,5289620,0,2117,36200,0,0
2017-10-16,5291753,2133,0,36200,0,0
2017-10-17,5294733,2980,0,36200,0,0
2017-10-18,5083273,19607,231067,36200,0,0
