日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2022-06-29,'000688,科创50,1090.6825,1121.2367,1089.2481,1112.5906,1117.284,-26.6015,-2.3809,13435015,64007362686.0
2022-06-28,'000688,科创50,1117.284,1119.1846,1084.5866,1105.1145,1103.3992,13.8848,1.2584,12493418,59065500457.0
2022-06-27,'000688,科创50,1103.3992,1121.4479,1101.317,1113.2171,1101.4769,1.9223,0.1745,11837409,58368299304.0
2022-06-24,'000688,科创50,1101.4769,1107.332,1084.6086,1084.6086,1081.8437,19.6332,1.8148,12574040,60920314953.0
2022-06-23,'000688,科创50,1081.8437,1083.1024,1054.9114,1064.731,1063.6899,18.1538,1.7067,11016481,51783724674.0
2022-06-22,'000688,科创50,1063.6899,1090.0236,1063.5897,1084.7111,1083.0207,-19.3308,-1.7849,10786063,50509220158.0
2022-06-21,'000688,科创50,1083.0207,1098.9015,1073.5046,1094.3283,1095.3284,-12.3077,-1.1237,10545015,48908016628.0
2022-06-20,'000688,科创50,1095.3284,1109.7435,1086.7545,1099.4648,1092.0872,3.2412,0.2968,10970631,53714442705.0
2022-06-17,'000688,科创50,1092.0872,1094.267,1066.1682,1070.6175,1078.9465,13.1407,1.2179,10617344,50000414257.0
2022-06-16,'000688,科创50,1078.9465,1094.7025,1065.4434,1065.69,1062.7133,16.2332,1.5275,10129777,45297339619.0
2022-06-15,'000688,科创50,1062.7133,1085.8778,1061.4614,1069.9379,1070.5371,-7.8238,-0.7308,11204511,47345744076.0
2022-06-14,'000688,科创50,1070.5371,1076.8211,1038.9973,1073.7477,1088.3772,-17.8401,-1.6391,11274084,50175254790.0
2022-06-13,'000688,科创50,1088.3772,1094.7905,1080.3858,1088.7597,1102.8486,-14.4714,-1.3122,11242662,50825746065.0
2022-06-10,'000688,科创50,1102.8486,1103.1454,1072.1815,1074.0719,1081.1731,21.6755,2.0048,12923596,59807403165.0
2022-06-09,'000688,科创50,1081.1731,1109.7339,1073.66,1108.9307,1111.6738,-30.5007,-2.7437,11377633,49277059636.0
2022-06-08,'000688,科创50,1111.6738,1126.464,1091.6764,1108.594,1111.3951,0.2787,0.0251,15056600,66838053875.0
