日期,融资买入额(元),融资余额(元),融券卖出量,融券余量,融券余额(元),融资融券余额(元)
2018-07-11,531,531,0,0,0,531
2018-07-12,73177,73708,0,0,0,73708
2018-07-13,26847,71517,0,0,0,71517
2018-07-16,0,65067,0,0,0,65067
2018-07-17,0,4757,0,0,0,4757
2018-07-18,0,4757,0,0,0,4757
2018-07-19,6928,11685,0,0,0,11685
2018-07-20,0,4849,0,0,0,4849
2018-07-23,0,4849,0,0,0,4849
2018-07-24,25777,15719,0,0,0,15719
2018-07-25,48895,61108,0,0,0,61108
2018-07-26,43870,59610,0,0,0,59610
2018-07-27,0,59589,0,0,0,59589
2018-07-30,4305,47424,0,0,0,47424
2018-07-31,164675,212099,0,0,0,212099
2018-08-01,0,200070,0,0,0,200070
2018-08-02,0,180846,0,0,0,180846
2018-08-03,0,172670,0,0,0,172670
2018-08-06,9198,181868,0,0,0,181868
2018-08-07,0,172757,0,0,0,172757
2018-08-08,0,172757,0,0,0,172757
2018-08-09,0,172757,0,0,0,172757
2018-08-10,0,172757,0,0,0,172757
2018-08-13,0,172757,0,0,0,172757
2018-08-14,0,172757,0,0,0,172757
2018-08-15,0,172757,0,0,0,172757
2018-08-16,39426,212183,0,0,0,212183
2018-08-17,0,212183,0,0,0,212183
2018-08-20,36750,248933,0,0,0,248933
2018-08-21,10039,211923,0,0,0,211923
2018-08-22,0,187098,0,0,0,187098
2018-08-23,0,187098,0,0,0,187098
2018-08-24,0,101055,0,0,0,101055
2018-08-27,15928,116983,0,0,0,116983
2018-08-28,0,116983,0,0,0,116983
2018-08-29,515,117498,0,0,0,117498
2018-08-30,0,117498,0,0,0,117498
2018-08-31,0,117498,0,0,0,117498
2018-09-03,25135,138679,0,0,0,138679
2018-09-04,0,138679,0,0,0,138679
2018-09-05,3545,142224,0,0,0,142224
2018-09-06,60258,201978,0,0,0,201978
2018-09-07,502,192422,0,0,0,192422
2018-09-10,0,192422,0,0,0,192422
2018-09-11,986,113485,0,0,0,113485
2018-09-12,0,113485,0,0,0,113485
2018-09-13,0,112983,0,0,0,112983
2018-09-14,12758,83823,0,0,0,83823
2018-09-17,109193,193016,0,0,0,193016
2018-09-18,0,193016,0,0,0,193016
2018-09-19,0,193016,0,0,0,193016
2018-09-20,0,193016,0,0,0,193016
2018-09-21,20878,172563,0,0,0,172563
2018-09-25,0,126388,0,0,0,126388
2018-09-26,0,105409,0,0,0,105409
2018-09-27,24825,130234,0,0,0,130234
2018-09-28,0,104859,0,0,0,104859
2018-10-08,37784,104859,0,0,0,104859
2018-10-09,1930,106789,0,0,0,106789
2018-10-10,63236,168524,0,0,0,168524
2018-10-11,54281,197980,0,0,0,197980
2018-10-12,157658,261677,0,0,0,261677
2018-10-15,3059,255787,0,0,0,255787
2018-10-16,498926,710303,0,0,0,710303
2018-10-17,171547,484989,0,0,0,484989
2018-10-18,444191,679143,0,0,0,679143
2018-10-19,297833,657311,0,0,0,657311
2018-10-22,32629,168480,0,0,0,168480
2018-10-23,16830,185310,0,0,0,185310
2018-10-24,4400,163780,0,0,0,163780
2018-10-25,48029,211210,0,0,0,211210
2018-10-26,244805,442784,0,0,0,442784
2018-10-29,0,442784,0,0,0,442784
2018-10-30,658010,1081572,0,0,0,1081572
2018-10-31,55950,961687,0,0,0,961687
2018-11-01,106718,749412,0,0,0,749412
2018-11-02,122332,783275,0,0,0,783275
2018-11-05,659941,1365793,0,0,0,1365793
2018-11-06,172474,1515771,0,0,0,1515771
2018-11-07,94681,1258975,0,0,0,1258975
2018-11-08,0,1165970,0,0,0,1165970
2018-11-09,348153,1498871,0,0,0,1498871
2018-11-12,77120,1310552,0,0,0,1310552
2018-11-13,547425,1652180,0,0,0,1652180
2018-11-14,726164,1960764,0,0,0,1960764
2018-11-15,40413,1378648,0,0,0,1378648
2018-11-16,510611,1222818,0,0,0,1222818
2018-11-19,84909,1302852,0,0,0,1302852
2018-11-20,563438,1764562,0,0,0,1764562
2018-11-21,51820,1816038,0,0,0,1816038
2018-11-22,78654,1862222,0,0,0,1862222
2018-11-23,119311,1784203,0,0,0,1784203
2018-11-26,131970,1905249,0,0,0,1905249
2018-11-27,12436,1682137,0,0,0,1682137
2018-11-28,849755,2012871,0,0,0,2012871
2018-11-29,620919,1749059,0,0,0,1749059
2018-11-30,39770,1300014,0,0,0,1300014
2018-12-03,499249,1594371,0,0,0,1594371
2018-12-04,256109,1497441,0,0,0,1497441
2018-12-05,362774,1516421,0,0,0,1516421
2018-12-06,11529,450914,0,0,0,450914
2018-12-07,0,450914,0,0,0,450914
2018-12-10,16936,438510,0,0,0,438510
2018-12-11,2756,431979,0,0,0,431979
2018-12-12,69195,498418,0,0,0,498418
2018-12-13,166453,624480,0,0,0,624480
2018-12-14,70960,536967,0,0,0,536967
2018-12-17,91073,536523,0,0,0,536523
2018-12-18,134445,610450,0,0,0,610450
2018-12-19,24505,520847,0,0,0,520847
2018-12-20,103864,615835,0,0,0,615835
2018-12-21,4430,535770,0,0,0,535770
2018-12-24,550645,1086414,0,0,0,1086414
2018-12-25,116624,684701,0,0,0,684701
2018-12-26,71183,611209,0,0,0,611209
2018-12-27,258558,761751,0,0,0,761751
2018-12-28,1305,736076,0,0,0,736076
2019-01-02,60651,538169,0,0,0,538169
2019-01-03,134915,603974,0,0,0,603974
2019-01-04,266495,716528,0,0,0,716528
2019-01-07,136942,850824,0,0,0,850824
2019-01-08,32135,745938,0,0,0,745938
2019-01-09,769671,1002343,0,0,0,1002343
2019-01-10,36342,710721,0,0,0,710721
2019-01-11,178530,832145,0,0,0,832145
2019-01-14,0,704464,0,0,0,704464
2019-01-15,9060,710363,0,0,0,710363
2019-01-16,41728,752091,0,0,0,752091
2019-01-17,60624,801010,0,0,0,801010
2019-01-18,22650,716695,0,0,0,716695
2019-01-21,122209,838904,0,0,0,838904
2019-01-22,448993,1179742,0,0,0,1179742
2019-01-23,334281,1260549,0,0,0,1260549
2019-01-24,142932,1282118,0,0,0,1282118
2019-01-25,280322,762758,0,0,0,762758
2019-01-28,620829,1333106,0,0,0,1333106
2019-01-29,758591,2076721,0,0,0,2076721
2019-01-30,98308,1770895,0,0,0,1770895
2019-01-31,1248247,2421634,0,0,0,2421634
2019-02-01,473002,1391646,0,0,0,1391646
2019-02-11,1108534,2369850,0,0,0,2369850
2019-02-12,414586,1718634,0,0,0,1718634
2019-02-13,151861,1572405,0,0,0,1572405
2019-02-14,1116632,2686209,0,0,0,2686209
