day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,lev_ratio_max,lev_ratio_is_max,high_max,positive_return,vol_chg
2018-02-12,15.81,17.14,15.81,17.13,15958244,1428642086,236021,62685518,0.08831003811944083,15958244.0,-35006449.0,0.2384276919041517,0.26126271830509223,1.0,20.35,0.05697232772653282,0.2259194131784601
2018-05-08,17.03,17.21,16.95,17.06,8590381,1310021847,144951,29800551,-0.0029222676797194813,-8590381.0,16870569.0,0.2031065838767885,0.2568402040760801,1.0,18.82,0.11070336391437308,1.7526943115857905
2018-08-28,12.71,12.84,12.65,12.76,4581150,1146606702,83075,12348226,0.005516154452324784,4581150.0,22261066.0,0.21149018522937563,0.2760482423669605,1.0,13.95,0.09470989761092152,0.6167698354108506
2018-08-31,12.4,12.47,12.2,12.21,3782853,1136862287,77475,5879377,-0.012135922330096971,-3782853.0,10086383.0,0.12600062233051082,0.3421488844910758,1.0,13.16,0.06125970664365843,0.3358107754536719
2018-11-20,12.08,13.45,12.08,12.75,45475959,991621159,331575,123448220,0.04081632653061229,45475959.0,196209181.0,0.21265820649010653,0.31431023601482067,1.0,13.45,0.15384615384615374,1.0875380359215718
2019-02-13,12.19,12.66,12.02,12.39,27892036,898709334,230000,76807037,0.025662251655629076,27892036.0,325745451.0,0.2231544927106201,0.2762171217770031,1.0,12.74,0.04350528278433807,0.8428332221628316
2019-04-17,15.99,16.7,15.91,16.2,30768930,912356756,339600,83292506,0.01440200375704448,30768930.0,890183531.0,0.1660247105947046,0.30053315934899366,1.0,18.4,0.3523573200992558,0.6786467794666802
2019-06-13,12.13,12.45,12.02,12.42,15966880,817507251,157650,23410186,0.023064250411861664,15966880.0,802925684.0,0.11983421333979893,0.20885476563755778,1.0,12.95,0.05775922059846894,0.21571942843996728
2020-04-15,11.28,11.36,11.14,11.2,12566119,683080942,967850,27221933,-0.01668129938542595,-12566119.0,1868278664.0,0.19255964214390917,0.19255964214390917,1.0,13.13,0.11279620853080563,0.2508183717459702
2020-04-17,11.37,11.59,11.21,11.23,20352649,684584315,747800,30836694,-0.016637478108581405,-20352649.0,1874866207.0,0.13290521336533329,0.19255964214390917,1.0,12.05,0.05616942909760603,1.1438752887824792
2020-09-04,13.05,13.35,12.37,12.71,96976565,716288826,1826414,150455752,-0.04507888805409466,-96976565.0,2256958953.0,0.12064269498935724,0.18858669202036085,1.0,13.56,0.04285714285714293,1.0995307358344144
2020-11-24,15.01,16.26,14.62,15.97,70276784,976450674,1935540,191420761,0.07109322602280344,70276784.0,2961468084.0,0.17641270666778305,0.17936352775400222,1.0,17.38,0.07135076252723316,0.3617453367702663
2021-06-01,30.5,30.5,28.83,29.98,99545059,1639520862,1251335,384870864,-0.0036556995679627446,-99545059.0,3906313054.0,0.1303319742070368,0.25775032773691187,1.0,30.5,0.0885964912280699,0.8690984446743681
2021-10-21,58.99,61.95,58.9,60.22,69469639,3713746545,4901516,401441920,0.020677966101694922,69469639.0,5955384190.0,0.09563371350130495,0.1700390864276339,1.0,61.95,0.26047220106626034,1.076260736281915
2022-02-18,43.2,43.77,43.03,43.6,26346553,3346070106,1366787,225503661,-0.010215664018161097,-26346553.0,5854548886.0,0.19721505463735317,0.19721505463735317,1.0,44.44,0.11687693406331845,0.7818647045950562
2022-05-23,39.21,39.39,38.29,39.15,47879842,2721824998,1408619,191603053,0.0,47879842.0,5908265242.0,0.10303161206964932,0.17149213081341466,1.0,40.0,,0.56858886092591
