day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2018-07-31,31.4,31.7,29.24,29.6,9927999,32.29,31.1,1,3.0,0.8718660029171159,30.3,0.023648648648648685,30.966
2018-08-01,30.2,30.3,28.8,28.9,6205245,31.4,29.6,1,3.0,0.681716631735358,29.22,0.01107266435986154,30.966
2018-09-03,25.7,25.7,23.75,24.3,9245521,26.69,25.7,1,3.0,1.0571709067966721,25.4,0.04526748971193406,26.068
2018-12-28,18.3,18.3,17.64,17.78,3191329,18.79,18.1,1,3.0,0.41367847641833677,17.87,0.005061867266591635,19.076
2019-01-03,16.91,17.36,16.76,16.8,3963342,17.83,16.85,1,3.0,0.8830089282552818,18.39,0.09464285714285703,18.69
2019-07-19,24.4,24.4,23.3,23.62,8912155,25.55,24.23,1,3.0,0.3125506699114471,24.16,0.022861981371718798,26.330000000000002
2019-09-30,22.93,23.09,22.38,22.41,3113984,23.6,22.97,1,3.0,1.1155258351591901,23.52,0.04953145917001334,24.366
2019-11-13,23.28,23.38,22.68,22.78,4667871,24.58,23.25,1,3.0,1.0367296395672803,23.76,0.043020193151887653,23.29
2021-08-27,29.7,30.57,29.34,29.75,6098160,31.69,29.9,1,3.0,0.7401014127059098,31.4,0.055462184873949605,29.869999999999997
2021-09-15,28.37,28.55,27.8,28.18,6189951,28.82,28.58,1,3.0,0.4549237975116076,29.23,0.03726046841731723,29.624
2022-01-26,31.5,31.7,29.78,30.11,15976338,33.51,31.3,1,3.0,2.151644150275842,31.0,0.029558286283626778,35.528
