day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum
2018-05-17,3.44,3.46,3.42,3.43,2074300,3.47,3.45,-0.23369906535150908,1,1.0,2505487.8532895884,356478.7911524263,False,3.89,0.1308139534883721,0,76,0,5,-5,-0.005797101449275366,0,79,0,2,-2
2018-06-26,3.42,3.48,3.4,3.45,3330301,3.53,3.48,-0.2075029126989868,1,0.0,2843062.611826984,1946714.3671649972,False,3.48,0.01754385964912286,0,91,0,5,-5,-0.008620689655172376,0,91,0,2,-2
2018-06-27,3.45,3.47,3.36,3.4,2611365,3.42,3.45,-0.21587718347380613,0,1.0,1002062.0502759193,1626745.833582266,False,3.48,0.008695652173912993,0,92,0,6,-6,-0.01449275362318847,0,92,0,3,-3
2019-01-21,2.74,2.75,2.71,2.72,4116233,2.71,2.73,-0.17986711650547527,0,1.0,1014781.612022891,1107794.8948444305,False,2.76,0.007299270072992581,0,162,0,5,-5,-0.003663003663003539,0,162,0,1,-1
2020-02-10,2.7,2.74,2.68,2.72,3607901,2.68,2.68,-0.1826262070640433,0,0.0,2616439.6811989085,949814.2409660644,False,2.96,0.0962962962962961,0,293,0,5,-5,0.014925373134328401,243,0,1,0,1
2020-03-31,2.78,2.85,2.78,2.8,2501078,2.81,2.78,-0.4832861398153937,0,1.0,2308626.3751109554,1882492.4545804777,False,2.91,0.04676258992805771,0,313,0,5,-5,0.007194244604316502,261,0,1,0,1
2020-05-14,2.95,2.97,2.93,2.95,3523409,2.99,2.96,-0.19855219326229645,1,2.0,1877575.5616421811,688765.9779243431,False,3.0,0.016949152542372836,0,325,0,5,-5,-0.0033783783783782884,0,302,0,4,-4
2020-06-19,2.83,2.84,2.8,2.82,3505400,2.83,2.83,-0.2999356533541139,0,0.0,4653431.6245376915,928922.6805366646,False,3.3,0.1660777385159009,0,341,0,5,-5,-0.0035335689045937757,0,316,0,1,-1
2021-05-21,2.91,2.96,2.89,2.96,15133500,2.98,2.93,-0.23760459479567086,0,3.0,14762243.987085478,762700.0081942293,False,2.96,0.01718213058419238,0,457,0,5,-5,0.010238907849829282,384,0,1,0,1
2021-05-24,2.96,2.96,2.91,2.92,13280100,2.91,2.96,-0.12247001685003467,0,2.0,7632650.020186171,850377.1380237358,False,2.94,-0.006756756756756799,0,458,0,6,-6,-0.013513513513513487,0,427,0,1,-1
2021-06-08,2.78,2.79,2.76,2.77,6389220,2.8,2.77,-0.17209492293582218,0,1.0,2407049.422500861,2607064.184580098,False,2.78,0.0,0,466,0,5,-5,0.0,0,0,0,0,0
2021-06-09,2.77,2.78,2.75,2.78,5233000,2.78,2.77,-0.18096418655172308,0,1.0,2257031.7432323713,2442383.756840954,True,2.78,0.0036101083032489267,0,467,0,6,-6,0.0036101083032489267,388,0,1,0,1
2021-12-14,2.32,2.33,2.29,2.3,5032800,2.35,2.32,-0.04117381906137607,1,1.0,2107855.385479128,1180255.4134046966,False,3.16,0.36206896551724155,0,531,0,5,-5,-0.008620689655172376,0,495,0,3,-3
2021-12-29,2.76,2.81,2.68,2.74,17206155,2.73,2.76,-0.12208567827786254,0,1.0,13951235.407002268,1192262.14781853,False,3.97,0.43840579710144945,0,538,0,5,-5,-0.007246376811594013,0,499,0,1,-1
2021-12-30,2.73,2.75,2.66,2.68,15634460,2.76,2.74,-0.09134492860258436,1,0.0,6636091.509758162,1192262.14781853,False,3.97,0.4542124542124544,0,539,0,6,-6,-0.021897810218978075,0,500,0,2,-2
2021-12-31,2.69,2.75,2.67,2.71,15460170,2.73,2.68,-0.011147810669508207,0,1.0,2769256.038073414,1192262.14781853,False,3.97,0.475836431226766,0,540,0,7,-7,0.011194029850746245,450,0,1,0,1
2022-01-17,3.49,3.51,3.35,3.39,34824423,3.38,3.48,-0.23124334018327286,0,2.0,16795285.240912706,3305093.2874168446,False,3.42,-0.02005730659025795,0,547,0,5,-5,-0.025862068965517238,0,505,0,1,-1
2022-04-20,4.34,4.35,4.08,4.24,65591998,4.2,4.35,-0.07298242587074455,0,0.0,13635146.907536346,20009213.07505283,False,4.23,-0.025345622119815503,0,583,0,5,-5,-0.025287356321838983,0,532,0,1,-1
2022-05-25,4.45,4.88,4.45,4.88,86245497,4.84,4.44,-0.33128292033458717,0,0.0,50283407.42041536,9649804.071941046,False,5.3,0.1910112359550562,0,596,0,5,-5,0.09909909909909898,499,0,1,0,1
2022-06-09,4.36,4.48,4.16,4.19,56842250,4.3,4.38,-0.1260953317227106,0,1.0,8095268.168307627,8451400.276814826,False,4.29,-0.016055045871559703,0,604,0,5,-5,-0.04337899543378987,0,549,0,1,-1
2022-06-10,4.11,4.21,4.05,4.13,45840931,4.36,4.19,-0.19354123033483017,1,0.0,10930889.629037736,8611081.034139795,True,4.29,0.04379562043795615,0,605,0,6,-6,-0.014319809069212486,0,550,0,2,-2
