day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return
2017-12-28,22.12,22.44,21.13,21.32,38017939,22.68,22.23,0.555047281399301,1,2.0,5764759.67250052,4600745.257031257,True,22.7,0.026220614828209587
2018-02-26,19.65,20.06,19.58,19.87,14834542,19.58,19.55,1.079950522709737,0,0.0,3041263.32018042,4264280.028466923,True,22.35,0.13740458015267198
2018-03-01,20.04,21.55,19.92,21.5,37734575,19.9,20.15,1.484869846602749,0,0.0,11531707.167886129,3737856.1968728467,True,22.35,0.11526946107784442
2018-03-21,21.56,21.82,21.0,21.29,19177477,21.4,21.55,0.5869011794014312,0,1.0,3082895.305990931,3078732.10740988,True,27.73,0.28617810760667917
2018-05-24,25.97,26.02,24.88,25.96,23149886,25.9,25.88,0.5785141819458273,0,0.0,5040045.915840887,5020970.986756123,True,27.7,0.06661532537543313
2018-07-03,25.24,26.35,25.04,26.2,20276093,25.38,25.23,0.961406533690311,0,1.0,5275658.79986806,2681350.095085891,True,26.23,0.03922345483359746
2018-11-26,25.8,25.8,24.57,24.81,16562446,26.29,25.99,0.5068145540792388,1,1.0,1998727.9309671635,2323151.9660843853,True,25.62,-0.006976744186046546
2018-11-28,25.24,25.48,24.2,24.73,18804084,25.0,25.19,0.5947316759754457,0,1.0,3311175.8117876765,2292459.0326174158,True,25.57,0.01307448494453256
2019-01-18,24.56,25.22,24.49,25.13,11248527,25.0,24.58,0.5814587429847848,0,0.0,2389650.4331383407,2805494.7335448074,True,25.56,0.04071661237785018
2019-02-11,24.9,26.27,24.89,25.79,18843232,24.38,24.84,1.4817270068051402,0,0.0,4772325.049617226,2090673.574814611,True,29.56,0.18714859437750997
2019-04-24,27.6,27.83,27.1,27.81,23789818,28.05,27.63,0.6667560888032578,0,2.0,4902539.340135588,4874862.348448216,True,27.6,0.0
2019-07-24,22.03,22.54,22.01,22.4,10892341,21.85,22.02,0.7403836905013368,0,0.0,2304485.791922617,2321712.3062178195,True,23.25,0.05537902859736721
2019-10-14,21.32,21.64,21.32,21.58,12070133,21.28,21.17,0.9035533603339494,0,0.0,2224369.769814571,887051.2569198529,True,22.43,0.052063789868668
2019-12-05,20.89,21.17,20.89,21.08,8191982,20.7,20.89,0.7072946156744662,0,0.0,1739222.5200414935,1207496.0641986572,True,22.81,0.09191000478697942
2020-02-13,22.53,23.62,22.53,22.97,31546167,22.09,22.56,0.6787352686385271,0,1.0,7103489.575352853,2335364.035985297,True,25.88,0.14869063470927646
2020-06-01,16.0,16.72,15.97,16.49,22213577,15.55,15.95,1.0749589698801088,0,1.0,5656380.189938734,2182271.323970149,True,16.85,0.05312500000000009
2020-06-29,16.5,16.6,16.08,16.12,15302212,16.64,16.63,1.0882999369642938,1,2.0,3002002.127299781,2071697.5651424476,True,20.13,0.21999999999999997
2020-08-03,17.52,18.4,17.51,18.37,27943922,17.43,17.49,1.2413734273786647,0,0.0,7071398.995229292,2473350.4179890677,True,18.55,0.058789954337899575
2020-10-12,16.11,16.37,16.1,16.32,8945780,15.92,16.04,0.5219248654885438,0,0.0,1860509.968158817,1289206.412842461,True,16.42,0.01924270639354453
2021-03-04,11.41,11.67,11.41,11.47,8510358,11.39,11.46,0.7463632130828499,0,0.0,1327806.0005113631,1316882.3084969488,True,11.75,0.029798422436459138
2021-07-12,12.56,12.92,12.56,12.88,16441770,12.57,12.48,0.5501903540078241,0,1.0,3336332.008791754,2182838.7902315124,True,13.67,0.08837579617834379
2021-08-05,12.22,12.43,12.03,12.31,13501162,12.25,12.22,0.5134425287156608,0,0.0,1856991.2853480794,1970705.0017279508,True,12.5,0.022913256955810146
2022-01-17,13.36,14.01,13.36,13.91,33996327,13.34,13.27,1.7648225341116337,0,1.0,9303073.935419649,2157525.982654682,True,14.31,0.07110778443113785
2022-03-14,12.87,13.45,12.81,13.12,29411654,12.61,12.94,0.7535505165260308,0,1.0,5210288.171030348,2414435.6126300683,True,13.3,0.033411033411033575
2022-06-09,11.2,11.47,11.13,11.34,16966596,11.22,11.2,0.7435571014931215,0,0.0,3077345.219924632,1551382.5934311403,True,,
