day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2018-04-16,11.14,11.14,10.65,10.66,8232497,11.23,11.12,1,3.0,0.8324755066994172,10.76,0.009380863039399667
2019-08-06,8.17,8.17,7.98,8.11,4709147,8.42,8.25,1,3.0,0.6168189933392845,8.19,0.009864364981504226
2019-09-26,8.74,8.81,8.64,8.66,3930564,8.81,8.75,1,3.0,0.28924295888987506,9.11,0.051963048498845144
2020-05-15,14.66,14.76,14.1,14.15,22749426,15.22,14.62,1,3.0,0.5184968597693842,14.93,0.055123674911660814
2020-09-07,16.07,16.35,15.53,15.54,12736577,16.1,16.16,1,3.0,0.6602156774822594,15.66,0.007722007722007707
2020-09-24,14.92,15.04,14.57,14.58,6486268,15.09,15.04,1,3.0,0.666541539901949,14.79,0.014403292181069949
2021-04-28,13.31,13.5,13.15,13.2,5389761,13.56,13.31,1,3.0,0.3913692558296826,13.48,0.021212121212121238
2021-09-29,11.29,11.45,11.0,11.2,5670217,11.36,11.39,1,3.0,0.3703352383567047,11.62,0.03750000000000009
2021-10-27,10.85,10.88,10.64,10.66,3833710,10.99,10.93,1,3.0,1.1546969088945018,10.8,0.013133208255159623
2022-01-14,12.19,12.19,11.85,11.86,5207497,12.3,12.19,1,3.0,0.5792468496926115,12.66,0.06745362563237789
2022-03-15,12.35,12.38,11.45,11.51,7962308,12.69,12.4,1,3.0,0.8972711043587414,12.24,0.06342311033883585
