day,open,high,low,close,volume,vol_chg,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum,high_max,positive_return
2017-12-12,6.1,6.15,6.07,6.11,3357609,-0.06983504409794516,0,24,0,5,-5.0,-0.0016339869281045694,0,22,0,1,-1.0,6.18,0.013114754098360715
2018-01-04,6.02,6.09,6.02,6.07,4328204,0.29681217363999934,27,0,5,0,5.0,0.004966887417218624,21,0,4,0,4.0,6.16,0.023255813953488413
2018-06-26,3.46,3.61,3.44,3.57,5626666,-0.027917543441379644,0,95,0,5,-5.0,0.014204545454545414,73,0,1,0,1.0,3.63,0.049132947976878505
2018-06-27,3.57,3.6,3.52,3.53,5307876,-0.056656997234241335,0,96,0,6,-6.0,-0.011204481792717047,0,80,0,1,-1.0,3.63,0.01680672268907557
2018-06-28,3.52,3.58,3.46,3.49,5227229,-0.015193836479978073,0,97,0,7,-7.0,-0.011331444759206666,0,81,0,2,-2.0,3.63,0.03125
2019-06-04,3.59,3.6,3.55,3.57,3609230,-0.030471970767194545,0,215,0,5,-5.0,-0.0027932960893854997,0,184,0,7,-7.0,3.71,0.03342618384401108
2019-06-05,3.6,3.6,3.58,3.59,2834500,-0.2146524327903736,0,216,0,6,-6.0,0.0056022408963585235,181,0,1,0,1.0,3.74,0.03888888888888897
2019-11-27,3.37,3.37,3.31,3.32,5336200,0.02625151451045249,246,0,5,0,5.0,-0.014836795252225587,0,234,0,2,-2.0,3.38,0.0029673590504450953
2020-06-01,3.31,3.49,3.27,3.39,27193325,1.3346599231090193,309,0,5,0,5.0,0.03039513677811545,285,0,4,0,4.0,3.87,0.1691842900302114
2020-06-02,3.38,3.72,3.36,3.67,89485249,2.2907064141659763,310,0,6,0,6.0,0.08259587020648951,286,0,5,0,5.0,3.87,0.1449704142011834
2020-06-11,3.24,3.26,3.19,3.21,19242499,-0.16659528353324293,0,337,0,5,-5.0,-0.012307692307692353,0,286,0,1,-1.0,3.25,0.0030864197530864335
2020-12-21,3.31,3.41,3.29,3.4,25924309,1.0406157510610696,372,0,5,0,5.0,0.027190332326283873,346,0,1,0,1.0,3.54,0.06948640483383683
2021-03-24,3.22,3.32,3.21,3.24,20323540,1.6967151185857023,403,0,5,0,5.0,0.009345794392523477,373,0,1,0,1.0,3.29,0.021739130434782483
2021-08-04,2.92,2.92,2.89,2.91,3336402,-0.10149221575592404,0,485,0,5,-5.0,0.0,0,0,0,0,0.0,2.96,0.013698630136986356
2021-08-05,2.9,2.91,2.89,2.89,2037964,-0.38917312721908215,0,486,0,6,-6.0,-0.0068728522336769515,0,418,0,1,-1.0,2.96,0.020689655172413834
2022-05-23,3.88,3.92,3.82,3.88,17448662,-0.09544520961074776,0,583,0,5,-5.0,0.0,0,0,0,0,0.0,4.01,0.03350515463917514
