day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2018-01-15,3.46,3.47,3.35,3.38,18787974,3.47,3.45,1,3.0,0.8267530236800529,3.47,0.026627218934911268,3.426
2018-02-01,3.45,3.51,3.39,3.4,17251302,3.49,3.47,1,3.0,0.21604885708493438,3.4,0.0,3.4
2018-03-23,3.08,3.1,2.96,3.0,26452504,3.15,3.14,1,3.0,1.9881434462266427,3.06,0.020000000000000018,3.14
2018-06-19,2.72,2.72,2.48,2.5,21728555,2.78,2.75,1,3.0,1.2872273907852607,2.56,0.02400000000000002,2.856
2018-08-31,2.34,2.36,2.31,2.31,9516190,2.37,2.35,1,3.0,1.2827168489733256,2.35,0.017316017316017396,2.35
2019-08-06,2.53,2.56,2.49,2.53,22361577,2.6,2.58,1,3.0,0.7862703332684964,2.56,0.011857707509881577,2.678
2020-01-21,2.48,2.49,2.44,2.45,23973993,2.49,2.48,1,3.0,0.4308355475660153,2.49,0.01632653061224487,2.51
2020-06-29,1.86,1.86,1.81,1.82,29573443,1.87,1.86,1,3.0,1.1752123361737992,1.92,0.05494505494505497,1.85
2021-07-19,3.73,3.86,3.68,3.73,112194249,3.8,3.74,1,3.0,0.28265255764941344,3.9,0.04557640750670244,3.168
2022-03-09,3.17,3.22,2.95,3.06,89076703,3.29,3.15,1,3.0,0.3608410253818619,3.18,0.03921568627450989,3.124
