日期,融资买入额(元),融资余额(元),融券卖出量,融券余量,融券余额(元),融资融券余额(元)
2017-07-12,8226609,493074544,2000,14400,133200,493207744
2017-07-13,6106001,490757819,0,14400,132480,490890299
2017-07-14,6419116,490861982,0,14400,131904,490993886
2017-07-17,15428562,478052305,15600,28000,247800,478300105
2017-07-18,8226560,478339840,0,12400,109740,478449580
2017-07-19,5438112,468546852,17600,30000,268500,468815352
2017-07-20,5933283,467521432,0,30000,268800,467790232
2017-07-21,5843324,467240684,0,30000,267000,467507684
2017-07-24,4523936,466758979,0,30000,269100,467028079
2017-07-25,3913530,466072130,0,30000,267600,466339730
2017-07-26,4102423,465927955,0,30000,267000,466194955
2017-07-27,10987577,470088309,0,30000,269700,470358009
2017-07-28,7119553,458096963,0,18000,161640,458258603
2017-07-31,10725841,457619605,0,18000,163800,457783405
2017-08-01,10531953,455832997,0,18000,165420,455998417
2017-08-02,11315044,457524730,0,18000,163260,457687990
2017-08-03,5671934,452061795,0,18000,162540,452224335
2017-08-04,6820066,447297978,0,18000,162360,447460338
2017-08-07,6215245,443961752,0,18000,162000,444123752
2017-08-08,7573415,445177819,0,18000,161460,445339279
2017-08-09,22082725,459838727,0,18000,163080,460001807
2017-08-10,11593025,464095516,0,18000,160740,464256256
2017-08-11,12302769,466486255,12000,30000,265800,466752055
2017-08-14,2305314,462528024,0,30000,269100,462797124
2017-08-15,7002880,464151594,0,30000,268200,464419794
2017-08-16,6776886,465158037,0,30000,269100,465427137
2017-08-17,24867987,460804036,0,30000,273900,461077936
2017-08-18,13239617,465454353,0,30000,273000,465727353
2017-08-21,7975736,462955821,0,30000,273300,463229121
2017-08-22,6244099,462341727,0,30000,271200,462612927
2017-08-23,8629267,449048073,0,30000,269100,449317173
2017-08-24,5676363,451990939,0,30000,269700,452260639
2017-08-25,8032633,446643826,0,18000,162900,446806726
2017-08-28,11413526,445190134,0,18000,163260,445353394
2017-08-29,6338689,442859463,0,18000,163620,443023083
2017-08-30,7337291,442407426,0,18000,163260,442570686
2017-08-31,12023332,446038988,0,18000,163440,446202428
2017-09-01,23138200,459570394,0,18000,163800,459734194
2017-09-04,13679199,464459194,0,18000,164520,464623714
2017-09-05,4645944,462953635,0,18000,163980,463117615
2017-09-06,13516785,462798401,4600,22600,207920,463006321
2017-09-07,11877148,463012269,0,18000,164160,463176429
2017-09-08,4796649,452297365,0,18000,164520,452461885
2017-09-11,21673000,457382422,0,18000,166680,457549102
2017-09-12,15415544,462523006,0,18000,165780,462688786
2017-09-13,13485127,453497806,0,18000,165960,453663766
2017-09-14,14278801,447493179,2000,20000,185400,447678579
2017-09-15,9060826,440278966,10000,15600,143988,440422954
2017-09-18,11217969,444834142,0,5600,51520,444885662
2017-09-19,5635394,442314919,0,5600,51240,442366159
2017-09-20,15892020,443088255,0,5600,51800,443140055
2017-09-21,13130943,439718053,0,5600,51296,439769349
2017-09-22,8174904,439090630,0,5600,51072,439141702
2017-09-25,8901692,435003516,0,5600,50568,435054084
2017-09-26,4688889,433308847,0,5600,50680,433359527
2017-09-27,5694141,432211518,0,5600,50680,432262198
2017-09-28,4669451,431602541,0,5600,50512,431653053
2017-09-29,3334555,425329375,0,0,0,425329375
2017-10-09,12725870,428816682,0,0,0,428816682
2017-10-10,20137083,438890602,0,0,0,438890602
2017-10-11,57248634,434923350,30000,30000,287700,435211050
2017-10-12,24508762,443757148,0,0,0,443757148
2017-10-13,15484918,444039853,0,0,0,444039853
2017-10-16,17391276,443135103,1000,1000,9250,443144353
2017-10-17,11959476,447562450,0,1000,9290,447571740
2017-10-18,11149963,446002988,0,1000,9220,446012208
2017-10-19,9826878,445452604,0,1000,9130,445461734
2017-10-20,10575438,447191092,0,1000,9200,447200292
2017-10-23,12510851,450389583,0,0,0,450389583
2017-10-24,12956488,453328372,0,0,0,453328372
2017-10-25,12186685,457954574,0,0,0,457954574
2017-10-26,12981413,448284028,0,0,0,448284028
2017-10-27,11563160,445519388,0,0,0,445519388
2017-10-30,9227253,441255489,0,0,0,441255489
2017-10-31,5278326,439396550,0,0,0,439396550
2017-11-01,6427523,437384106,0,0,0,437384106
2017-11-02,5160222,437146856,0,0,0,437146856
2017-11-03,13362365,440067478,0,0,0,440067478
2017-11-06,7641788,438196236,0,0,0,438196236
2017-11-07,10261424,442167980,0,0,0,442167980
2017-11-08,5912060,435061419,0,0,0,435061419
2017-11-09,14400390,433736936,0,0,0,433736936
2017-11-10,17627792,436760795,0,0,0,436760795
2017-11-13,17273830,440932154,0,0,0,440932154
2017-11-14,15764841,441664929,0,0,0,441664929
2017-11-15,38786717,453860489,64292,64292,607559,454468048
2017-11-16,27420621,450189969,0,34300,327565,450517534
2017-11-17,25779056,442509439,0,10000,92700,442602139
2017-11-20,15677326,439450725,0,10000,93200,439543925
2017-11-21,73356920,474583834,30000,40000,390800,474974634
2017-11-22,61807616,490871809,0,0,0,490871809
2017-11-23,36613641,494125408,0,0,0,494125408
2017-11-24,63387273,513223879,0,0,0,513223879
2017-11-27,52286104,513075704,6500,6500,62725,513138429
2017-11-28,65877910,539212680,7100,7100,70645,539283325
2017-11-29,50783062,543052426,18700,18700,184943,543237369
2017-11-30,27378537,534044392,9300,9300,90768,534135160
2017-12-01,33048964,542733078,20700,20700,199962,542933040
2017-12-04,38511714,524169001,9300,9300,88443,524257444
2017-12-05,44546427,528546694,0,5000,46300,528592994
2017-12-06,21714876,530260621,8100,13100,122223,530382844
2017-12-07,15371981,531272121,0,5000,45800,531317921
2017-12-08,14766528,526629412,0,0,0,526629412
2017-12-11,22846836,527975004,0,0,0,527975004
2017-12-12,15208432,519206892,0,0,0,519206892
2017-12-13,7610874,518341724,0,0,0,518341724
2017-12-14,9549184,518955161,0,0,0,518955161
2017-12-15,9667354,508713427,0,0,0,508713427
2017-12-18,8316053,499588756,1000,1000,9030,499597786
