日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2017-07-12,577264350,56847387,46294827,18750,4000,0
2017-07-13,582175728,30409732,25498354,18750,0,0
2017-07-14,580194818,24390757,26371667,19250,4500,4000
2017-07-17,565315993,29797104,44675929,14650,100,4700
2017-07-18,560132513,14659362,19808036,15050,400,0
2017-07-19,556609805,23975494,27498202,30450,16400,1000
2017-07-20,552841210,19242345,23010940,30250,0,200
2017-07-21,543308109,21829739,31362840,30850,1000,400
2017-07-24,551691938,37400631,29016802,30650,100,300
2017-07-25,553180095,27699793,26211636,29750,100,1000
2017-07-26,553523435,35315763,34972423,13550,500,16700
2017-07-27,553041361,21746038,22228112,13750,200,0
2017-07-28,547407271,13456173,19090263,17950,4200,0
2017-07-31,538807291,27202100,35802080,14050,200,4100
2017-08-01,542513086,20505194,16799399,13950,0,100
2017-08-02,543261590,17359782,16611278,14450,500,0
2017-08-03,553501012,28523538,18284116,14150,0,300
2017-08-04,542744702,15926092,26682402,14650,500,0
2017-08-07,544363216,11913724,10295210,30650,16500,500
2017-08-08,536712281,16413675,24064610,14250,0,16400
2017-08-09,546972794,51685557,41425044,31130,16880,0
2017-08-10,542106255,33212179,38078718,30530,0,600
2017-08-11,524021837,23842100,41926518,14150,0,16380
2017-08-14,519853068,32998285,37167054,14150,0,0
2017-08-15,519036615,20065001,20881454,14150,0,0
2017-08-16,517496773,16618981,18158823,13950,0,200
2017-08-17,520007189,21700461,19190045,13950,0,0
2017-08-18,528717229,28611690,19901650,13900,300,350
2017-08-21,518566209,9126165,19277185,13900,0,0
2017-08-22,519738328,12169476,10997357,13700,0,200
2017-08-23,516673383,14891248,17956193,15700,2000,0
2017-08-24,516594364,17516492,17595511,25700,10500,500
2017-08-25,515438609,15241863,16397618,22300,0,3400
2017-08-28,525356886,34434147,24515870,19700,0,2600
2017-08-29,520385198,18363435,23335123,20100,400,0
2017-08-30,531993973,21915267,10306492,20000,0,100
2017-08-31,539170446,25095185,17918712,19700,0,300
2017-09-01,534187898,27888082,32870630,25600,5900,0
2017-09-04,543012726,29803692,20978864,19600,0,6000
2017-09-05,541983537,28583387,29612576,32600,13000,0
2017-09-06,549462450,35862067,26562530,19300,0,13300
2017-09-07,556435898,27169440,20195992,19300,0,0
2017-09-08,541923366,10990439,25502971,19700,400,0
2017-09-11,543827896,13521618,11617088,19900,300,100
2017-09-12,540035155,14783752,18576493,19900,0,0
2017-09-13,560739009,51930855,31227001,20000,100,0
2017-09-14,562479687,43157496,41416818,26300,6500,200
2017-09-15,577303859,49177097,34352925,19800,0,6500
2017-09-18,571808998,27523249,33018110,12900,0,6900
2017-09-19,581226572,36445947,27028373,19500,6600,0
2017-09-20,582968414,21631337,19838440,13000,0,6500
2017-09-21,584924711,10670033,8713736,12700,0,300
2017-09-22,572296571,10803003,23431143,12800,100,0
2017-09-25,631921994,180625882,121000459,49400,36600,0
2017-09-26,601526115,57797292,88193171,25800,0,23600
2017-09-27,604332922,36630434,33823627,25400,0,400
2017-09-28,695263508,158784906,67854320,12800,500,13100
2017-09-29,636006491,53585539,112842556,16200,3800,400
2017-10-09,629040680,78840557,85806368,21100,5000,100
2017-10-10,619116567,80477814,90401927,16600,500,5000
2017-10-11,594759574,68367055,92724048,17400,800,0
2017-10-12,587871126,46061000,52156077,16800,0,600
2017-10-13,573886870,38062213,52046469,16600,0,200
2017-10-16,589343557,106824915,91368228,40100,23500,0
2017-10-17,580614896,57533865,66262526,16600,0,23500
2017-10-18,628490910,119013989,71137975,40100,23500,0
2017-10-19,637855953,116840561,107475518,17700,0,22400
2017-10-20,633768705,65285490,69893238,17700,0,0
2017-10-23,634218497,80372001,79922209,45700,31700,3700
2017-10-24,647349197,63450878,50320178,14200,0,31500
2017-10-25,677488360,96471340,66332177,34600,20400,0
2017-10-26,708679659,135271929,104080630,25700,11700,20600
2017-10-27,743016567,123300613,88963705,30817,7717,2600
2017-10-30,739972826,148472067,151151348,34817,4000,0
2017-10-31,748898418,85037751,76112159,45317,14500,4000
2017-11-01,769555364,106986302,86329356,30817,0,14500
2017-11-02,730223812,68805335,108136887,31917,1100,0
2017-11-03,728022985,71132217,73333044,32817,900,0
