day,open,high,low,close,volume
2021-10-25 13:50:00,35.200,35.210,35.190,35.210,15400
2021-10-25 13:55:00,35.230,35.270,35.230,35.240,12100
2021-10-25 14:00:00,35.240,35.280,35.240,35.280,31700
2021-10-25 14:05:00,35.260,35.300,35.200,35.300,39400
2021-10-25 14:10:00,35.250,35.300,35.230,35.260,14600
2021-10-25 14:15:00,35.240,35.240,35.100,35.220,51800
2021-10-25 14:20:00,35.200,35.710,35.200,35.710,305000
2021-10-25 14:25:00,35.640,35.650,35.380,35.560,114000
2021-10-25 14:30:00,35.490,35.570,35.400,35.490,67800
2021-10-25 14:35:00,35.490,35.570,35.400,35.460,111500
2021-10-25 14:40:00,35.420,35.490,35.380,35.380,67200
2021-10-25 14:45:00,35.380,35.490,35.360,35.490,188500
2021-10-25 14:50:00,35.560,35.690,35.420,35.650,185400
2021-10-25 14:55:00,35.650,35.770,35.650,35.710,220400
2021-10-25 15:00:00,35.700,36.080,35.690,36.080,145423
2021-10-26 09:35:00,35.600,36.680,35.600,36.490,271100
2021-10-26 09:40:00,36.490,36.650,36.370,36.550,217689
2021-10-26 09:45:00,36.500,37.250,36.450,37.030,386416
2021-10-26 09:50:00,37.000,37.220,36.680,36.930,204130
2021-10-26 09:55:00,36.930,37.100,36.730,36.810,162400
2021-10-26 10:00:00,36.850,36.940,36.750,36.900,120540
2021-10-26 10:05:00,36.900,37.060,36.720,37.050,298600
2021-10-26 10:10:00,36.950,37.060,36.720,36.910,120500
2021-10-26 10:15:00,36.910,36.910,36.500,36.500,134600
2021-10-26 10:20:00,36.500,36.810,36.400,36.580,177900
2021-10-26 10:25:00,36.770,36.790,36.540,36.560,42900
2021-10-26 10:30:00,36.540,36.750,36.450,36.570,85300
2021-10-26 10:35:00,36.450,36.570,36.300,36.480,54736
2021-10-26 10:40:00,36.480,36.500,36.380,36.430,33900
2021-10-26 10:45:00,36.450,36.560,36.380,36.380,51900
2021-10-26 10:50:00,36.380,36.570,36.330,36.560,37300
2021-10-26 10:55:00,36.560,36.570,36.360,36.400,18000
2021-10-26 11:00:00,36.400,36.450,36.350,36.410,18100
2021-10-26 11:05:00,36.400,36.510,36.350,36.410,45700
2021-10-26 11:10:00,36.490,36.560,36.350,36.350,85600
2021-10-26 11:15:00,36.400,36.450,36.330,36.330,27200
