证券代码,证券简称
600000.SS,浦发银行
600004.SS,白云机场
600006.SS,东风汽车
600007.SS,中国国贸
600008.SS,首创环保
600009.SS,上海机场
600010.SS,包钢股份
600011.SS,华能国际
600012.SS,皖通高速
600015.SS,华夏银行
600016.SS,民生银行
600017.SS,日照港
600018.SS,上港集团
600019.SS,宝钢股份
600020.SS,中原高速
600021.SS,上海电力
600022.SS,山东钢铁
600023.SS,浙能电力
600025.SS,华能水电
600026.SS,中远海能
600027.SS,华电国际
600028.SS,中国石化
600029.SS,南方航空
600030.SS,中信证券
600031.SS,三一重工
600033.SS,福建高速
600035.SS,楚天高速
600036.SS,招商银行
600037.SS,歌华有线
600038.SS,中直股份
600039.SS,四川路桥
600048.SS,保利发展
600050.SS,中国联通
600053.SS,九鼎投资
600055.SS,万东医疗
600056.SS,中国医药
600057.SS,厦门象屿
600058.SS,五矿发展
600059.SS,古越龙山
600060.SS,海信视像
600061.SS,国投资本
600062.SS,华润双鹤
600063.SS,皖维高新
600064.SS,南京高科
600066.SS,宇通客车
600067.SS,冠城大通
600072.SS,中船科技
600073.SS,上海梅林
600075.SS,新疆天业
600076.SS,康欣新材
600077.SS,宋都股份
600079.SS,人福医药
600081.SS,东风科技
600085.SS,同仁堂
600088.SS,中视传媒
600089.SS,特变电工
600094.SS,大名城
600096.SS,云天化
600098.SS,广州发展
600100.SS,同方股份
600104.SS,上汽集团
600105.SS,永鼎股份
600107.SS,美尔雅
600108.SS,亚盛集团
600109.SS,国金证券
600110.SS,诺德股份
600111.SS,北方稀土
600113.SS,浙江东日
600115.SS,中国东航
600116.SS,三峡水利
600118.SS,中国卫星
600120.SS,浙江东方
600121.SS,郑州煤电
600123.SS,兰花科创
600125.SS,铁龙物流
600126.SS,杭钢股份
600127.SS,金健米业
600129.SS,太极集团
600130.SS,波导股份
600131.SS,国网信通
600132.SS,重庆啤酒
600133.SS,东湖高新
600135.SS,乐凯胶片
600136.SS,当代文体
600138.SS,中青旅
600141.SS,兴发集团
600143.SS,金发科技
600150.SS,中国船舶
600151.SS,航天机电
600153.SS,建发股份
600155.SS,华创阳安
600157.SS,永泰能源
600158.SS,中体产业
600160.SS,巨化股份
600161.SS,天坛生物
600162.SS,香江控股
600163.SS,中闽能源
600166.SS,福田汽车
600167.SS,联美控股
600168.SS,武汉控股
600169.SS,太原重工
600170.SS,上海建工
600171.SS,上海贝岭
600172.SS,黄河旋风
600176.SS,中国巨石
600177.SS,雅戈尔
600180.SS,瑞茂通
600183.SS,生益科技
600184.SS,光电股份
600185.SS,格力地产
600187.SS,国中水务
600188.SS,兖州煤业
600195.SS,中牧股份
600196.SS,复星医药
600197.SS,伊力特
600199.SS,金种子酒
600200.SS,江苏吴中
600201.SS,生物股份
600206.SS,有研新材
600208.SS,新湖中宝
600210.SS,紫江企业
600213.SS,亚星客车
600216.SS,浙江医药
600217.SS,中再资环
600218.SS,全柴动力
600219.SS,南山铝业
600220.SS,江苏阳光
600222.SS,太龙药业
600223.SS,鲁商发展
600229.SS,城市传媒
600230.SS,沧州大化
600231.SS,凌钢股份
600233.SS,圆通速递
600236.SS,桂冠电力
600237.SS,铜峰电子
600246.SS,万通发展
600251.SS,冠农股份
600252.SS,中恒集团
600256.SS,广汇能源
600257.SS,大湖股份
600258.SS,首旅酒店
600259.SS,广晟有色
600261.SS,阳光照明
600266.SS,城建发展
600267.SS,海正药业
600268.SS,国电南自
600269.SS,赣粤高速
600271.SS,航天信息
600273.SS,嘉化能源
600276.SS,恒瑞医药
600277.SS,亿利洁能
600278.SS,东方创业
600282.SS,南钢股份
600284.SS,浦东建设
600285.SS,羚锐制药
600287.SS,江苏舜天
600288.SS,大恒科技
600292.SS,远达环保
600293.SS,三峡新材
600295.SS,鄂尔多斯
600297.SS,广汇汽车
600298.SS,安琪酵母
600299.SS,安迪苏
600303.SS,曙光股份
600305.SS,恒顺醋业
600307.SS,酒钢宏兴
600308.SS,华泰股份
600309.SS,万华化学
600310.SS,桂东电力
600312.SS,平高电气
600315.SS,上海家化
600316.SS,洪都航空
600318.SS,新力金融
600320.SS,振华重工
600322.SS,天房发展
600323.SS,瀚蓝环境
600325.SS,华发股份
600326.SS,西藏天路
600328.SS,中盐化工
600329.SS,中新药业
600330.SS,天通股份
600331.SS,宏达股份
600332.SS,白云山
600333.SS,长春燃气
600335.SS,国机汽车
600336.SS,澳柯玛
600337.SS,美克家居
600339.SS,中油工程
600340.SS,华夏幸福
600343.SS,航天动力
600345.SS,长江通信
600346.SS,恒力石化
600348.SS,华阳股份
600350.SS,山东高速
600351.SS,亚宝药业
600352.SS,浙江龙盛
600360.SS,华微电子
600362.SS,江西铜业
600363.SS,联创光电
600366.SS,宁波韵升
600368.SS,五洲交通
600369.SS,西南证券
600372.SS,中航电子
600373.SS,中文传媒
600375.SS,汉马科技
600376.SS,首开股份
600377.SS,宁沪高速
600378.SS,昊华科技
600380.SS,健康元
600383.SS,金地集团
600386.SS,北巴传媒
600388.SS,龙净环保
600389.SS,江山股份
600390.SS,五矿资本
600391.SS,航发科技
600392.SS,盛和资源
600395.SS,盘江股份
600398.SS,海澜之家
600400.SS,红豆股份
600406.SS,国电南瑞
600409.SS,三友化工
600410.SS,华胜天成
600415.SS,小商品城
600418.SS,江淮汽车
600422.SS,昆药集团
600425.SS,青松建化
600426.SS,华鲁恒升
600428.SS,中远海特
600433.SS,冠豪高新
600435.SS,北方导航
600436.SS,片仔癀
600438.SS,通威股份
600446.SS,金证股份
600448.SS,华纺股份
600449.SS,宁夏建材
600452.SS,涪陵电力
600456.SS,宝钛股份
600458.SS,时代新材
600459.SS,贵研铂业
600460.SS,士兰微
600466.SS,蓝光发展
600467.SS,好当家
600469.SS,风神股份
600477.SS,杭萧钢构
600478.SS,科力远
600480.SS,凌云股份
600481.SS,双良节能
600482.SS,中国动力
600483.SS,福能股份
600486.SS,扬农化工
600487.SS,亨通光电
600489.SS,中金黄金
600490.SS,鹏欣资源
600491.SS,龙元建设
600495.SS,晋西车轴
600497.SS,驰宏锌锗
600498.SS,烽火通信
600499.SS,科达制造
600500.SS,中化国际
600501.SS,航天晨光
600502.SS,安徽建工
600503.SS,华丽家族
600507.SS,方大特钢
600508.SS,上海能源
600509.SS,天富能源
600510.SS,黑牡丹
600511.SS,国药股份
600512.SS,腾达建设
600516.SS,方大炭素
600517.SS,国网英大
600519.SS,贵州茅台
600521.SS,华海药业
600522.SS,中天科技
600523.SS,贵航股份
600525.SS,长园集团
600528.SS,中铁工业
600529.SS,山东药玻
600531.SS,豫光金铅
600532.SS,未来股份
600533.SS,栖霞建设
600535.SS,天士力
600536.SS,中国软件
600537.SS,亿晶光电
600543.SS,莫高股份
600545.SS,卓郎智能
