日期,融资买入额(元),融资余额(元),融券卖出量,融券余量,融券余额(元),融资融券余额(元)
2019-08-19,11382224,10544333,0,0,0,10544333
2019-08-20,14228882,21173255,0,0,0,21173255
2019-08-21,7754755,25825346,0,0,0,25825346
2019-08-22,9041396,29897604,0,0,0,29897604
2019-08-23,16506618,36128511,0,0,0,36128511
2019-08-26,12059294,39638590,0,0,0,39638590
2019-08-27,11835133,41562247,0,0,0,41562247
2019-08-28,5227318,38976868,0,0,0,38976868
2019-08-29,3312251,37602936,0,0,0,37602936
2019-08-30,7159233,40332561,0,0,0,40332561
2019-09-02,7652422,43888881,0,0,0,43888881
2019-09-03,6844193,39339436,0,0,0,39339436
2019-09-04,7144445,36736463,0,0,0,36736463
2019-09-05,9499456,40028663,0,0,0,40028663
2019-09-06,6113211,42146652,0,0,0,42146652
2019-09-09,8567610,46418817,0,0,0,46418817
2019-09-10,20548919,53667770,0,0,0,53667770
2019-09-11,12416319,56356243,0,0,0,56356243
2019-09-12,9496100,58655768,0,0,0,58655768
2019-09-16,5470981,58444312,0,0,0,58444312
2019-09-17,5918425,53874655,0,0,0,53874655
2019-09-18,17433894,64676383,0,0,0,64676383
2019-09-19,7737574,58756570,0,0,0,58756570
2019-09-20,13241673,58849878,0,0,0,58849878
2019-09-23,7546512,58570889,0,0,0,58570889
2019-09-24,9582016,59884056,200,200,10908,59894964
2019-09-25,5976396,57897645,200,200,10764,57908409
2019-09-26,9579817,55907431,0,0,0,55907431
2019-09-27,5608567,55048739,0,0,0,55048739
2019-09-30,1490355,47841662,300,300,15330,47856992
2019-10-08,11577960,52084969,0,0,0,52084969
2019-10-09,5079868,53323248,0,0,0,53323248
2019-10-10,5703836,51558883,0,0,0,51558883
2019-10-11,9940500,49645837,0,0,0,49645837
2019-10-14,12875892,56302355,0,0,0,56302355
2019-10-15,4925059,51500902,0,0,0,51500902
2019-10-16,7841833,52122262,0,0,0,52122262
2019-10-17,3852659,51523114,0,0,0,51523114
2019-10-18,4931149,46350830,0,0,0,46350830
2019-10-21,13344080,52994446,0,0,0,52994446
2019-10-22,5498991,53748233,0,0,0,53748233
2019-10-23,4634172,54438224,0,0,0,54438224
2019-10-24,4174877,55419964,0,0,0,55419964
2019-10-25,8641638,60248252,0,0,0,60248252
2019-10-28,9946833,66443194,0,0,0,66443194
2019-10-29,9713813,70206991,0,0,0,70206991
2019-10-30,5603682,71124810,0,0,0,71124810
2019-10-31,4005803,61746142,0,0,0,61746142
2019-11-01,13964741,71821837,0,0,0,71821837
2019-11-04,12732044,70078955,0,0,0,70078955
2019-11-05,9317930,71362763,0,0,0,71362763
2019-11-06,4791750,64309420,0,0,0,64309420
2019-11-07,9120921,63999126,0,0,0,63999126
2019-11-08,6609258,63145925,0,0,0,63145925
2019-11-11,4612532,60997469,0,0,0,60997469
2019-11-12,8194671,63828251,0,0,0,63828251
2019-11-13,6174099,64200205,0,0,0,64200205
2019-11-14,4230748,60898796,0,0,0,60898796
2019-11-15,4252391,61364060,0,0,0,61364060
2019-11-18,7269981,56539991,0,0,0,56539991
2019-11-19,8634986,56884259,0,0,0,56884259
2019-11-20,13560770,59098184,0,0,0,59098184
2019-11-21,5797564,58669092,0,0,0,58669092
2019-11-22,17030515,61854380,0,0,0,61854380
2019-11-25,10194488,62419610,0,0,0,62419610
2019-11-26,9103125,66173900,0,0,0,66173900
2019-11-27,6670055,66170474,0,0,0,66170474
2019-11-28,10923574,71229526,0,0,0,71229526
2019-11-29,8266178,70297774,0,0,0,70297774
2019-12-02,3283706,69163304,0,0,0,69163304
2019-12-03,22614203,85265944,0,0,0,85265944
2019-12-04,10573109,91736060,300,300,17424,91753484
2019-12-05,6672035,92798327,0,300,17517,92815844
2019-12-06,6987203,92286713,0,300,17520,92304233
2019-12-09,7455714,95990493,0,300,17409,96007902
2019-12-10,11379587,99801752,0,300,17511,99819263
2019-12-11,3951266,98646397,0,300,17193,98663590
2019-12-12,11838814,105297316,0,300,16938,105314254
2019-12-13,12288092,102957996,0,300,17370,102975366
2019-12-16,11909663,101342775,0,300,17844,101360619
2019-12-17,9484977,102884340,0,300,17646,102901986
2019-12-18,7261625,102854442,0,300,17445,102871887
2019-12-19,5398960,101472802,0,300,17220,101490022
2019-12-20,4828265,102805549,0,300,17010,102822559
2019-12-23,3694247,99912949,0,300,16539,99929488
2019-12-24,1993722,96687161,0,300,17010,96704171
2019-12-25,7379420,101066150,0,300,16842,101082992
2019-12-26,2254392,101175448,0,300,16857,101192305
2019-12-27,4074399,101688772,0,300,16761,101705533
2019-12-30,3531297,99448858,0,300,16590,99465448
2019-12-31,6245643,86894768,0,300,16992,86911760
2020-01-02,6281461,89559287,0,300,16893,89576180
2020-01-03,5961876,91530636,0,300,16734,91547370
2020-01-06,10747028,95784739,0,300,16440,95801179
2020-01-07,8434436,94327933,0,300,16773,94344706
2020-01-08,6083121,94380446,0,300,16755,94397201
2020-01-09,15857397,101491540,0,300,17373,101508913
2020-01-10,37677143,124302401,0,300,18000,124320401
2020-01-13,17828970,120653804,0,300,18300,120672104
2020-01-14,10057318,114467238,0,300,18198,114485436
2020-01-15,8848229,111035982,0,300,18846,111054828
2020-01-16,2656197,108744552,0,300,18864,108763416
2020-01-17,4089127,101570235,0,300,18825,101589060
2020-01-20,7209613,96579689,0,300,19806,96599495
2020-01-21,10377596,95535967,0,300,19980,95555947
2020-01-22,3985405,90011221,0,300,19875,90031096
2020-01-23,14649355,94184050,0,300,19491,94203541
2020-02-03,7225737,87614923,0,300,18390,87633313
2020-02-04,4828127,87093394,0,300,18975,87112369
2020-02-05,8789526,83188186,0,300,19143,83207329
2020-02-06,15286001,90842752,0,300,19371,90862123
