day,open,high,low,close,volume
2017-09-28,14.730,14.940,14.710,14.840,5769137
2017-09-29,14.840,14.900,14.750,14.760,3749428
2017-10-09,14.880,15.050,14.830,15.000,6584570
2017-10-10,14.990,15.080,14.900,15.000,4044434
2017-10-11,15.020,15.060,14.910,14.990,5235224
2017-10-12,14.950,15.040,14.740,14.830,5828151
2017-10-13,14.900,14.900,14.740,14.860,4347117
2017-10-16,14.860,14.880,14.560,14.560,4974812
2017-10-17,14.560,14.620,14.470,14.490,3365009
2017-10-18,14.510,14.530,14.190,14.200,6293445
2017-10-19,14.250,14.310,14.090,14.160,4226841
2017-10-20,14.190,14.270,14.090,14.270,2952205
2017-10-23,14.260,14.280,14.170,14.280,2571037
2017-10-24,14.260,14.510,14.250,14.470,5651204
2017-10-25,14.460,14.530,14.360,14.490,2814050
2017-10-26,14.470,14.520,14.350,14.470,2767116
2017-10-27,14.470,14.520,14.370,14.460,2875319
2017-10-30,14.420,14.540,14.100,14.520,6191377
2017-10-31,14.500,14.500,14.340,14.490,3190229
2017-11-01,14.470,14.540,14.340,14.400,2939637
2017-11-02,14.400,14.450,14.330,14.390,3776156
2017-11-03,14.500,14.560,14.250,14.460,4792382
2017-11-06,14.400,14.420,14.250,14.320,2889843
2017-11-07,14.300,14.420,14.170,14.270,4295184
2017-11-08,14.220,14.410,14.190,14.310,4922111
2017-11-09,14.320,14.340,14.200,14.290,3301253
2017-11-10,14.300,14.340,14.190,14.220,3782908
2017-11-13,14.260,14.280,14.120,14.160,3682989
2017-11-14,14.170,14.180,14.030,14.030,4140739
2017-11-15,14.240,15.280,14.240,14.610,25615065
2017-11-16,14.400,14.940,14.400,14.830,16251590
2017-11-17,14.710,15.110,14.420,15.050,24326398
2017-11-20,15.000,15.270,14.730,15.160,17462678
2017-11-21,15.060,15.180,14.930,15.030,11613703
2017-11-22,15.030,15.400,14.780,15.260,16538983
2017-11-23,15.100,15.180,14.660,14.890,12299696
2017-11-24,14.830,15.080,14.720,14.970,10386995
2017-11-27,15.010,15.380,14.880,15.150,16600753
2017-11-28,15.080,15.140,14.600,14.970,16586326
2017-11-29,14.860,14.900,14.370,14.460,14038402
2017-11-30,14.380,14.440,14.180,14.430,9273021
2017-12-01,14.360,14.470,14.270,14.420,6337285
2017-12-04,14.380,14.440,14.190,14.430,6220609
2017-12-05,14.390,14.610,14.060,14.070,12628422
2017-12-06,14.040,14.040,13.200,13.520,17113230
2017-12-07,13.460,13.670,13.400,13.590,7369547
2017-12-08,13.580,13.790,13.480,13.570,7223265
2017-12-11,13.690,13.730,13.570,13.690,5091498
2017-12-12,13.630,13.740,13.520,13.610,4499327
2017-12-13,13.650,13.680,13.490,13.560,3535131
2017-12-14,13.550,13.590,13.290,13.350,7715735
2017-12-15,13.320,13.370,13.220,13.260,6518758
2017-12-18,13.260,13.290,12.960,13.030,7395218
2017-12-19,13.050,13.120,13.020,13.090,4490325
2017-12-20,13.080,13.080,12.810,12.820,4911700
2017-12-21,12.830,12.880,12.570,12.830,3758452
2017-12-22,12.830,12.890,12.760,12.850,4415300
2017-12-25,12.830,13.040,12.640,12.660,6006604
2017-12-26,12.610,12.880,12.610,12.790,3120918
