日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2021-10-19,27269531,43797488,16527957,8690397,8690397,0
2021-10-20,26694298,32777124,33352357,7506399,566479,1750477
2021-10-21,31518559,17687297,12863036,7485864,324394,344929
2021-10-22,27309469,13379380,17588470,7122541,276530,639853
2021-10-25,27767109,8767111,8309471,6394327,167336,895550
2021-10-26,31119419,11326177,7973867,6071523,33133,355937
2021-10-27,31884992,11041414,10275841,6078157,102647,96013
2021-10-28,33053054,4528206,3360144,5858971,35791,254977
2021-10-29,28352700,3342031,8042385,5435111,34095,457955
2021-11-01,32892586,9891079,5351193,5168544,83501,350068
2021-11-02,35384393,14216974,11725167,5528841,420898,60601
2021-11-03,29994504,4163974,9553863,5168868,6004,365977
2021-11-04,26606610,3111064,6498958,5036157,48674,181385
2021-11-05,27351386,4999695,4254919,4814022,85729,307864
2021-11-08,26739563,6337555,6949378,4830081,102654,86595
2021-11-09,40467421,26495766,12767908,4950182,326071,205970
2021-11-10,50863391,28681705,18285735,5089951,308783,169014
2021-11-11,37240814,22830750,36453327,5000747,365825,455029
2021-11-12,47520116,22965661,12686359,4891092,228294,337949
2021-11-15,39765243,14716949,22471822,364576,22000,4548516
2021-11-16,35358117,9369505,13776631,124062,0,240514
2021-11-17,29521875,5344773,11181015,124062,0,0
2021-11-18,27393619,5302679,7430935,176424,52362,0
2021-11-19,26811733,4177297,4759183,232141,80830,25113
2021-11-22,27649403,5121708,4284038,249793,47452,29800
2021-11-23,33627837,11498975,5997307,316893,96900,29800
2021-11-24,34253665,4692870,4067042,282123,35030,69800
2021-11-25,34674292,6803381,6382754,284706,32167,29584
2021-11-26,32028964,3126544,5771872,288493,29800,26013
2021-11-29,31855035,3830797,4004726,288193,29800,30100
2021-11-30,32420969,3917221,3360629,281709,43017,49501
2021-12-01,32887196,4890883,4424656,217079,16200,80830
2021-12-02,34487426,5387092,3786862,206579,17300,27800
2021-12-03,28933640,614966,6168752,154279,27000,79300
2021-12-06,28880660,898200,951180,80266,9787,83800
2021-12-07,25892389,982512,3970783,40817,14400,53849
2021-12-08,28453996,4639104,2077497,66759,40342,14400
2021-12-09,29228006,2711015,1937005,60601,14400,20558
2021-12-10,29964615,1872551,1135942,54310,8109,14400
2021-12-13,31292150,2921593,1594058,62201,12105,4214
2021-12-14,29351317,2662636,4606187,60836,10442,11807
2021-12-15,30512901,2763356,1601772,172864,152200,40172
2021-12-16,31728034,2743568,1629177,168562,11498,15800
2021-12-17,31349463,1967813,2346384,46700,29983,151845
2021-12-20,31883968,1072398,537893,46700,4384,4384
2021-12-21,32068943,1233838,820814,41200,0,5500
2021-12-22,31504936,1421039,1985046,41207,7307,7300
2021-12-23,32415636,2689933,1779233,44933,3726,0
2021-12-24,29507691,2230861,5138806,49793,12547,7687
