sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate
000001,0.7600651821341927,1731.2019394727906,0.0,0.9980587824635556,14.901941217536445,0.0669750851848114,2.193993231761892,"const       1.973056e+01
lev_buy    -1.773567e-09
lev_sell    6.757915e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,20172091.80631527,14872032.717460304,13543694.210405294,3,0.21924161302025033,0.15844443596944713,0.24141251003211142,1
000002,0.3741364554522253,326.3946373878013,7.5490421103755975e-112,-3.331388730331426,23.861388730331427,-0.13961420133509364,-6.612503176596221,"const       3.306408e+01
lev_buy    -2.190249e-09
lev_sell    1.064763e-07
dtype: float64",False,False,False,True,False,False,False,False,False,False,18595684.103372943,8724464.934004754,28086243.4856442,1,0.3749774974432336,0.20965194945109442,0.44715769030620156,1
000006,0.7241055851643646,1363.466715036595,2.9237558897706273e-291,0.4910574780996724,4.318942521900327,0.11369854440285719,13.208685224964633,"const       2.448634e+00
lev_buy     4.898819e-09
lev_sell    2.656416e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,1266775.6111376146,989815.8796748542,3326105.007901215,1,0.08825646153787635,0.07227083493731137,0.09338094023941779,1
000008,0.20598147437653036,109.8628704285765,3.786814570415132e-43,-0.745898487510253,3.165898487510253,-0.2356040443030274,-42.73355003615001,"const       2.791514e+00
lev_buy     1.724023e-09
lev_sell   -1.741305e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,4390640.63473369,3647381.0164748356,7487336.154583461,1,0.03286335345031127,0.031976482401948725,0.048270073544588336,1
000009,0.632094145424807,938.0753231025517,7.802568859984783e-238,-2.3565576710910427,12.656557671091043,-0.18619262301262823,-3.1574542308334546,"const       9.091867e-01
lev_buy     2.775171e-09
lev_sell    1.272325e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,6753375.543581946,2704062.309948763,9832533.263114788,1,0.1141425605876197,0.06640580031356652,0.13352902306248446,1
000012,0.5667587041568507,714.2676735545401,4.513318704293323e-199,0.0950315621504858,6.7649684378495145,0.014047598746919647,0.6666143538922656,"const       1.664359e+00
lev_buy     6.110739e-09
lev_sell    7.969408e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,4063220.674952781,3341651.2096475316,7172861.138653751,1,0.09044571107618346,0.06284902544986952,0.07402702209325038,2
000016,0.5976336175722545,470.09652948723965,7.290618640683327e-126,-1.2586277839922904,6.29862778399229,-0.19982571238628236,-16.788739291601093,"const       3.781823e+00
lev_buy     2.371844e-09
lev_sell    4.822461e-06
dtype: float64",False,False,False,False,False,False,False,False,True,False,1920229.2990687708,1331904.9533610682,2335936.9007781856,1,0.07026924796412076,0.05114043615868503,0.13935566009316008,1
000021,0.8294228525023892,1555.98400310031,1.639348264655639e-246,-3.4098811613033924,14.039881161303393,-0.24287108431527749,-4.6234171560164645,"const       7.211261e+00
lev_buy     6.295274e-09
lev_sell   -3.049023e-08
dtype: float64",False,True,False,False,False,False,False,False,False,False,1298041.4661475956,671030.084736744,1526797.2464429573,1,0.11586557700447017,0.07882483825958748,0.07368853370774715,3
000025,0.530404518472714,362.5670542569908,4.2012152674866685e-106,-3.0515064981093367,16.251506498109336,-0.18776760778850515,-9.37010178473847,"const       1.338765e+01
lev_buy     1.520875e-08
lev_sell    2.532712e-05
dtype: float64",False,False,False,False,False,False,True,False,False,False,774101.923621184,639502.3618191024,835164.0776375696,1,0.24326003254946577,0.15783231786468427,0.3206711711395413,1
000027,0.8643710170995338,3479.6882291942857,0.0,-0.4028662605155837,6.722866260515584,-0.05992477685919152,-6.649401675059799,"const       3.050710e+00
lev_buy     7.734477e-09
lev_sell   -2.143385e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,2314485.378351668,1537545.898429989,5974153.955484449,1,0.054399593014933356,0.0405551383729222,0.06348228099242845,1
