sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,rzmr,rzmr_std,lev_ratio,lev_ratio_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate,lev_10%,lev_1%,lev_ratio_last,lev_ratio_rate
000001,0.479282423561337,30.37408509560303,4.077738031187198e-06,-0.4955123293052708,14.885512329305271,-0.03328822806654429,-0.9898647232592656,"const     -2.958966e+00
vol_sum    3.907258e-09
dtype: float64",False,True,False,True,False,False,False,False,False,False,True,False,True,False,12067338.692918047,8799366.986346496,18049045.83863203,1,0.1315294643796406,0.1016389332815493,0.2739890508761176,1,0.11094089844975696,0.1382677380612215,0.121504912490975,2
000002,0.11139566302452397,4.1368882942001015,0.05006176099773375,-1.0433907463187921,19.26339074631879,-0.054164438652534876,-1.0360215570280098,"const      2.559546e+01
vol_sum   -1.533068e-09
dtype: float64",False,True,False,False,False,False,False,True,False,True,False,False,True,False,14555604.845409319,8730778.255097136,44564823.72272371,1,0.2647640458975568,0.1904394297856582,0.48597325029268656,1,0.13759651644308007,0.16360378388649766,0.11948103868956572,1
000006,0.2880653153571344,13.352566761870998,0.0008875406503268498,-0.3334891284194752,4.543489128419475,-0.07339934552357666,-0.8800547291009058,"const     -1.495767e+00
vol_sum    3.903426e-09
dtype: float64",False,True,False,True,False,False,False,True,False,False,False,False,True,False,4184841.5531169777,3552346.9922040994,8894092.23688306,1,0.09071934744033065,0.04532226919393749,0.1279453008124926,1,0.1740682609945267,0.22835552854656013,0.0925652584909709,1
000008,0.30319444408899854,14.358979445644492,0.0006092818756807027,-0.18184399996565448,2.5318439999656546,-0.07182275052022212,-1.5752592423531284,"const     -2.278173e-01
vol_sum    1.110986e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,False,False,False,5121177.145064404,3094625.889330106,15328405.05111041,1,0.01816590212457325,0.01095445115008349,0.051672042731052165,1,0.10580558083417213,0.13124129401065202,0.10924236463241886,2
000009,0.9102293767412826,334.60355227672375,7.679221986261913e-19,-0.32456732548359213,11.964567325483593,-0.027127376749536868,-0.999105850820339,"const     -2.450001e+01
vol_sum    4.581072e-09
dtype: float64",False,False,False,False,False,True,False,True,False,False,False,False,True,False,9832533.263114808,8508129.31864139,29007972.420036633,1,0.1619567843592993,0.11404046142618991,0.21679483388676918,1,0.11684121078631768,0.1271883900016563,0.05002609151515156,1
000012,0.0013150968604782598,0.04345534438275141,0.8361515782110163,-0.23334380199210703,6.253343801992107,-0.037315044459537226,-0.3542516202813569,"const      6.985521e+00
vol_sum   -1.637240e-10
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,False,4421439.016724001,2208980.694457617,14909130.514738556,1,0.06284902544988262,0.05948740287937812,0.0985900603509465,1,0.09466108738551218,0.13114559393167768,0.0827805729626016,1
000016,0.3065115632688066,14.585508643154634,0.0005605413601210118,-0.20240795161648073,5.602407951616481,-0.036128742027448986,-0.6710078033413966,"const     -1.134356e+01
vol_sum    5.273104e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,True,False,False,1561082.9560148949,1219843.6109840123,14206115.426358934,1,0.0460434577328803,0.023278025183409025,0.26319194516550154,1,0.13184332198503607,0.17510116758827393,0.15329158706985602,2
000021,0.25180049076696287,11.105882980099215,0.0021318533788515725,-0.411662084622753,10.901662084622753,-0.03776140568541557,-0.8051111820727802,"const     -1.595210e+01
vol_sum    6.487671e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,False,True,False,1249429.6812997123,840696.23435777,1930858.5085423796,1,0.08961026726884472,0.06011900026301154,0.1834393632784249,1,0.10510077176772897,0.1296264622505843,0.03664307611947662,1
000025,0.8199943197293343,150.32754805503654,7.79875914823608e-14,1.3280786282163568,12.131921371783644,0.10946976884512248,2.42187933950003,"const     -9.674921e+00
vol_sum    1.065803e-07
dtype: float64",False,True,False,False,False,False,False,True,True,False,False,False,True,False,470208.03108124423,371627.8360704025,1461339.9467021676,1,0.13612494260793284,0.11394360286747275,0.5452338947644444,1,0.09036324176492871,0.10939052369603271,0.09142184137502533,2
000027,0.021549257957524492,0.7267872382761568,0.40007176027083846,0.105600820222012,5.994399179777988,0.017616581254424085,0.394861254146487,"const      9.755416e+00
vol_sum   -9.543305e-10
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,True,True,False,2443880.504294349,1598428.9733937131,5470888.5854911655,1,0.06804410334481567,0.056461853814774685,0.1042592921518205,1,0.11030838522022228,0.14462360379589767,0.034548855776920954,1
000028,0.9471701983316737,591.6474330374956,1.1967215458731093e-22,-0.10782427152661711,28.847824271526616,-0.0037376916370445946,-0.2720232844245394,"const      2.069636e+00
vol_sum    2.227242e-07
dtype: float64",False,False,False,True,False,False,False,False,False,False,False,False,True,False,576279.3423631473,374065.03233269823,980267.6844784298,1,0.2544995088403749,0.17043923617618398,0.49509595029645237,1,0.12104065805420307,0.15272815116419403,0.09169015055066618,1
000030,0.21030689825972793,8.78838580111291,0.005593429894333443,0.03892126745076929,5.39107873254923,0.00721956947424601,0.13683712195601871,"const     -4.095809e+00
vol_sum    7.806827e-09
dtype: float64",False,True,False,False,False,False,False,False,False,True,False,False,False,True,1456738.2724014635,781728.3754949607,3243219.2655324726,1,0.06457553716384416,0.030894155284371165,0.07224956747276429,1,0.15816913010955827,0.20331353558942564,0.07051918033079883,1
