sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation
000001,0.751284939,481.2926602,5.67E-144,2.768358833,14.54164117,0.19037458,5.013102992
000002,0.52239566,174.2761418,2.51E-76,-2.780436769,22.42043677,-0.124013497,-4.278915923
000006,0.886822728,1248.487609,1.16E-225,0.146141974,4.233858026,0.034517448,3.360157614
000008,0.917711278,1776.938484,9.77E-259,-0.324849361,3.484849361,-0.093217619,-35.33826152
000009,0.509642198,165.5994661,1.35E-73,1.066950269,13.02304973,0.081927835,0.692896951
000012,0.441206866,125.804983,4.56E-60,2.044851901,7.405148099,0.276139231,8.270173322
000016,0.784209184,568.1337037,1.04E-155,-0.183369153,6.633369153,-0.027643442,-2.94286241
000021,0.783632012,577.0664227,2.00E-158,0.49771121,15.48228879,0.032147134,1.036911864
000025,0.726518963,423.2786654,3.97E-134,-1.213684515,16.51368451,-0.073495683,-3.93856312
000027,0.940528524,2519.822187,1.94E-292,0.030990923,8.179009077,0.00378908,0.201926601
000028,0.316618494,73.82096175,3.01E-39,-6.109618932,40.94961893,-0.149198432,-3.991065928
000030,0.097799282,17.27186127,1.16E-10,1.173530669,6.656469331,0.176299268,22.46128932
000031,0.820109479,726.3905652,1.40E-177,-0.208385107,3.838385107,-0.054289786,-4.95696877
000034,0.528481197,178.5817874,1.18E-77,-3.97750433,19.71750433,-0.201724532,-4.524350579
000035,0.628732488,269.8271183,1.98E-102,0.076069916,5.923930084,0.012841123,6.854400366
000036,0.297921648,67.61189702,1.85E-36,0.027099956,4.252900044,0.006372112,4.539737971
000039,0.931704081,2150.914418,3.62E-275,0.372215646,16.35778435,0.022754649,0.474564
000040,0.580340286,220.3393588,9.94E-90,0.863440427,2.906559573,0.297066138,103.9235926
000046,0.892816001,1327.206963,2.62E-231,0.294911736,1.625088264,0.181474288,7.224824314
000049,0.250716991,53.31439983,9.66E-30,17.48250128,45.01749872,0.388349015,2.940164722
000050,0.512546898,167.5357187,3.27E-74,-1.446643769,14.37664377,-0.100624582,-18.26138874
000059,0.559329771,202.237117,1.15E-84,0.20351782,6.88648218,0.029553234,4.404212844
000060,0.851844179,916.1109644,1.02E-197,-0.024540752,4.984540752,-0.004923373,-1.466850158
000061,0.688639117,352.3986856,1.13E-120,0.651153685,5.828846315,0.111712276,15.45128987
000062,0.462637925,137.1768609,4.07E-64,2.940482025,13.72951797,0.21417227,20.94238161
000063,0.687710231,350.1425205,4.10E-120,-3.510073245,35.56007325,-0.098708268,-3.094735062
000066,0.562850541,205.14918,1.69E-85,0.037654848,13.64234515,0.002760145,0.221229245
000069,0.658256512,306.9033007,5.09E-111,0.28607275,6.54392725,0.04371576,6.578903081
