1,2020-03-04,1.41亿,308.87万,237.55万,71.32万,0.00,0.00,0.00,0.00,1.41亿
2,2020-03-03,1.40亿,174.62万,470.09万,-295.47万,0.00,0.00,0.00,0.00,1.40亿
3,2020-03-02,1.43亿,52.04万,269.18万,-217.13万,0.00,0.00,0.00,0.00,1.43亿
4,2020-02-28,1.45亿,239.38万,194.55万,44.83万,0.00,0.00,0.00,0.00,1.45亿
5,2020-02-27,1.45亿,215.40万,420.58万,-205.18万,0.00,0.00,0.00,0.00,1.45亿
6,2020-02-26,1.47亿,364.34万,187.97万,176.37万,0.00,0.00,0.00,0.00,1.47亿
7,2020-02-25,1.45亿,301.27万,284.24万,17.04万,0.00,0.00,0.00,0.00,1.45亿
8,2020-02-24,1.45亿,151.65万,487.09万,-335.44万,0.00,0.00,0.00,0.00,1.45亿
9,2020-02-21,1.48亿,249.87万,343.84万,-93.97万,0.00,0.00,0.00,0.00,1.48亿
10,2020-02-20,1.49亿,470.21万,168.93万,301.28万,0.00,0.00,0.00,0.00,1.49亿
11,2020-02-19,1.46亿,185.04万,373.47万,-188.43万,0.00,0.00,0.00,0.00,1.46亿
12,2020-02-18,1.48亿,299.70万,335.39万,-35.69万,0.00,0.00,0.00,0.00,1.48亿
13,2020-02-17,1.49亿,213.83万,90.82万,123.01万,0.00,0.00,0.00,0.00,1.49亿
14,2020-02-14,1.47亿,178.96万,114.53万,64.44万,0.00,0.00,0.00,0.00,1.47亿
15,2020-02-13,1.47亿,239.37万,72.02万,167.35万,0.00,0.00,0.00,0.00,1.47亿
16,2020-02-12,1.45亿,128.63万,106.22万,22.41万,0.00,0.00,0.00,0.00,1.45亿
17,2020-02-11,1.45亿,46.07万,172.61万,-126.54万,0.00,0.00,0.00,0.00,1.45亿
18,2020-02-10,1.46亿,72.67万,367.66万,-295.00万,0.00,0.00,0.00,0.00,1.46亿
19,2020-02-07,1.49亿,115.31万,188.60万,-73.29万,0.00,0.00,0.00,0.00,1.49亿
20,2020-02-06,1.50亿,262.46万,698.90万,-436.45万,0.00,0.00,0.00,0.00,1.50亿
21,2020-02-05,1.54亿,163.86万,642.17万,-478.31万,0.00,0.00,0.00,0.00,1.54亿
22,2020-02-04,1.59亿,194.95万,1008.25万,-813.30万,0.00,0.00,0.00,0.00,1.59亿
23,2020-02-03,1.67亿,126.24万,542.35万,-416.11万,0.00,0.00,0.00,0.00,1.67亿
24,2020-01-23,1.71亿,65.82万,276.07万,-210.25万,0.00,0.00,0.00,0.00,1.71亿
25,2020-01-22,1.73亿,72.85万,218.20万,-145.35万,0.00,0.00,0.00,0.00,1.73亿
