day,open,high,low,close,volume
2017-09-04,6.07,6.12,6.06,6.12,17749014
2017-09-05,6.12,6.16,6.08,6.11,17202563
2017-09-06,6.11,6.11,6.07,6.1,10183556
2017-09-07,6.1,6.1,6.06,6.08,12647778
2017-09-08,6.06,6.19,6.05,6.13,26883746
2017-09-11,6.14,6.15,6.07,6.09,15051128
2017-09-12,6.09,6.11,6.06,6.08,14536821
2017-09-13,6.08,6.09,6.05,6.07,10403467
2017-09-14,6.07,6.1,6.05,6.09,13203773
2017-09-15,6.09,6.09,6.06,6.08,10977457
2017-09-18,6.09,6.09,6.05,6.07,9225602
2017-09-19,6.08,6.1,6.06,6.07,12547961
2017-09-20,6.07,6.17,6.05,6.16,24279270
2017-09-21,6.16,6.23,6.12,6.16,20860685
2017-09-22,6.16,6.34,6.12,6.28,38102691
2017-09-25,6.28,6.91,6.24,6.9,168387778
2017-09-26,6.84,6.84,6.46,6.58,125430931
2017-09-27,6.59,6.68,6.47,6.63,57588078
2017-09-28,6.62,6.62,6.43,6.46,48650146
2017-09-29,6.51,6.59,6.46,6.47,38680648
2017-10-09,6.51,6.62,6.47,6.57,39082235
2017-10-10,6.54,7.07,6.54,6.86,106291773
2017-10-11,6.93,7.0,6.72,6.79,55838737
2017-10-12,6.74,6.89,6.74,6.77,32519713
2017-10-13,6.83,6.97,6.74,6.8,45229049
2017-10-16,6.82,6.84,6.51,6.52,46769083
2017-10-17,6.54,6.57,6.45,6.49,26664041
2017-10-18,6.49,6.66,6.49,6.57,28532149
2017-10-19,6.61,6.78,6.58,6.61,33677528
2017-10-20,6.65,6.66,6.53,6.59,20351546
2017-10-23,6.6,6.63,6.47,6.59,23749126
2017-10-24,6.6,6.6,6.49,6.53,18335608
2017-10-25,6.53,6.55,6.48,6.54,16088810
2017-10-26,6.55,6.65,6.53,6.57,21340426
2017-10-27,6.57,6.59,6.38,6.41,28777221
2017-10-30,6.41,6.45,6.2,6.23,32104836
2017-10-31,6.2,6.31,6.2,6.27,14401906
2017-11-01,6.24,6.28,6.21,6.22,13031866
2017-11-02,6.22,6.27,6.15,6.15,18191702
2017-11-03,6.15,6.16,6.0,6.05,20547304
2017-11-06,5.99,6.14,5.99,6.14,14398368
2017-11-07,6.14,6.17,6.08,6.15,15362037
2017-11-08,6.15,6.18,6.1,6.13,14605646
2017-11-09,6.13,6.14,6.04,6.1,18567328
2017-11-10,6.1,6.1,6.04,6.06,17864876
2017-11-13,6.07,6.3,6.06,6.22,29145398
2017-11-14,6.23,6.25,6.12,6.13,17233475
2017-11-15,6.11,6.28,6.08,6.18,20782537
2017-11-16,6.15,6.27,6.14,6.25,17176585
2017-11-17,6.24,6.26,6.0,6.06,23475854
2017-11-20,6.0,6.09,5.92,6.07,13696973
2017-11-21,6.08,6.09,5.83,5.95,28249454
2017-11-22,5.91,5.95,5.85,5.87,20129083
2017-11-23,5.85,5.9,5.71,5.72,18916721
2017-11-24,5.7,5.74,5.6,5.66,16897116
2017-11-27,5.66,5.73,5.63,5.65,11949685
2017-11-28,5.67,5.74,5.59,5.69,17334208
2017-11-29,5.69,5.85,5.66,5.83,15912520
2017-11-30,5.82,5.95,5.81,5.92,22363107
2017-12-01,5.91,6.0,5.88,6.0,29666455
2017-12-04,6.0,6.22,5.98,6.16,33806574
2017-12-05,6.14,6.16,5.93,5.99,18457062
2017-12-06,6.02,6.08,5.9,6.06,13417079
2017-12-07,6.06,6.08,5.93,5.97,11699551
2017-12-08,6.02,6.04,5.97,6.0,9471950
2017-12-11,6.0,6.14,5.96,6.11,17572189
2017-12-12,6.13,6.18,6.09,6.17,17956868
2017-12-13,6.17,6.22,6.12,6.19,18259233
2017-12-14,6.18,6.21,6.09,6.1,10226709
2017-12-15,6.09,6.16,6.05,6.1,9148714
2017-12-18,6.1,6.1,5.97,5.99,10510364
2017-12-19,6.02,6.05,6.0,6.01,6730214
2017-12-20,6.0,6.04,5.97,6.03,6475326
2017-12-21,6.0,6.02,5.93,5.94,11826020
2017-12-22,5.96,5.97,5.9,5.9,6859880
2017-12-25,5.9,5.92,5.8,5.8,9357946
2017-12-26,5.8,5.86,5.79,5.83,8754496
2017-12-27,5.86,5.91,5.8,5.81,9454638
2017-12-28,5.8,5.88,5.8,5.83,7501806
2017-12-29,5.85,5.91,5.82,5.9,9898526
2018-01-02,5.89,5.97,5.84,5.96,14861337
2018-01-03,5.93,6.02,5.92,5.97,14502307
2018-01-04,5.97,6.09,5.94,6.02,20979926
2018-01-05,6.02,6.04,5.98,6.03,13053957
2018-01-08,6.1,6.17,6.01,6.05,19946494
2018-01-09,6.05,6.09,6.02,6.05,13740949
2018-01-10,6.07,6.08,5.92,6.05,19085994
2018-01-11,6.03,6.05,5.94,5.96,19793820
2018-01-12,5.95,6.05,5.95,6.0,13275999
2018-01-15,6.05,6.37,6.01,6.11,49482939
2018-01-16,6.0,6.05,5.95,6.01,30456939
2018-01-17,5.98,6.0,5.92,5.98,14874317
2018-01-18,5.97,6.01,5.95,5.98,10634015
2018-01-19,6.0,6.0,5.9,5.93,17255827
2018-01-22,5.95,6.07,5.9,6.03,17778879
2018-01-23,6.03,6.05,5.95,5.98,17317720
2018-01-24,6.06,6.14,6.01,6.07,35523778
2018-01-25,6.07,6.08,6.02,6.03,20877300
2018-01-26,6.04,6.04,5.95,5.97,20921159
2018-01-29,5.96,5.99,5.88,5.9,19255728
2018-01-30,5.89,5.96,5.89,5.95,9728506
2018-01-31,5.94,5.94,5.77,5.79,16624500
2018-02-01,5.81,5.84,5.55,5.6,19850386
2018-02-02,5.6,5.63,5.43,5.59,13115637
2018-02-05,5.48,5.68,5.46,5.66,10533795
2018-02-06,5.6,5.64,5.37,5.39,16089992
2018-02-07,5.49,5.55,5.34,5.47,11113100
2018-02-08,5.46,5.56,5.43,5.53,6913150
2018-02-09,5.44,5.44,5.1,5.31,16058828
2018-02-12,5.34,5.51,5.32,5.43,8483502
2018-02-13,5.46,5.53,5.46,5.48,8405557
2018-02-14,5.5,5.54,5.48,5.53,5519292
2018-02-22,5.56,5.63,5.53,5.6,7244680
2018-02-23,5.61,5.64,5.57,5.62,5805258
2018-02-26,5.65,5.83,5.6,5.78,14141822
2018-02-27,5.78,5.82,5.71,5.73,9328167
2018-02-28,5.67,5.67,5.6,5.63,9032131
2018-03-01,5.6,5.66,5.58,5.65,8413695
2018-03-02,5.63,5.65,5.57,5.59,9014802
2018-03-05,5.6,5.64,5.58,5.64,9034222
2018-03-06,5.65,5.81,5.62,5.77,20377885
2018-03-07,5.79,6.1,5.74,6.0,51798495
2018-03-08,5.95,6.02,5.91,5.99,25247764
2018-03-09,5.95,6.06,5.95,6.01,18304932
2018-03-12,6.01,6.08,6.0,6.03,17528324
2018-03-13,6.03,6.18,6.0,6.13,31371091
2018-03-14,6.09,6.13,6.0,6.0,18547465
