day,Unnamed: 0,open,high,low,close,volume
2021-01-19,0,1.68,2.02,1.68,2.02,5902479
2021-01-20,1,2.22,2.22,2.22,2.22,1262682
2021-01-21,2,2.44,2.44,2.44,2.44,994791
2021-01-22,3,2.68,2.68,2.68,2.68,2936473
2021-01-25,4,2.95,2.95,2.95,2.95,1625298
2021-01-26,5,3.25,3.25,3.25,3.25,1297217
2021-01-27,6,3.58,3.58,3.58,3.58,1408466
2021-01-28,7,3.94,3.94,3.94,3.94,1595289
2021-01-29,8,4.33,4.33,4.33,4.33,4810237
2021-02-01,9,4.76,4.76,4.76,4.76,15180956
2021-02-02,10,5.24,5.24,5.24,5.24,10650171
2021-02-03,11,5.76,5.76,5.76,5.76,5079063
2021-02-04,12,6.34,6.34,6.34,6.34,71258308
2021-02-05,13,6.7,6.97,6.62,6.97,158034902
2021-02-08,14,7.65,7.67,6.93,7.4,443973020
2021-02-09,15,7.51,8.14,7.21,8.14,328792907
2021-02-10,16,8.01,8.55,7.33,7.33,383631005
2021-02-18,17,7.34,7.67,6.98,7.18,295577773
2021-02-19,18,7.02,7.15,6.47,6.7,247701768
2021-02-22,19,6.68,7.1,6.49,6.79,223245071
2021-02-23,20,6.6,6.6,6.18,6.18,194765389
2021-02-24,21,6.09,6.24,5.76,5.81,168469619
2021-02-25,22,5.9,6.1,5.7,6.1,148272935
2021-02-26,23,5.9,6.71,5.87,6.49,228182471
2021-03-01,24,6.33,7.1,6.22,6.85,243256120
2021-03-02,25,7.02,7.54,6.98,7.54,269060513
2021-03-03,26,7.48,8.15,7.1,7.74,318981973
2021-03-04,27,7.55,8.12,7.32,7.61,257009124
2021-03-05,28,7.33,7.58,6.9,6.94,225038856
2021-03-08,29,7.19,7.63,7.13,7.63,121428641
2021-03-09,30,7.8,8.3,7.44,7.67,333320938
2021-03-10,31,6.95,7.87,6.95,7.3,232997765
2021-03-11,32,7.47,7.98,7.13,7.9,260781650
2021-03-12,33,7.81,8.69,7.72,8.69,191936562
2021-03-15,34,9.01,9.56,8.28,8.55,363814035
2021-03-16,35,8.32,9.41,8.32,9.41,307772886
2021-03-17,36,10.0,10.31,9.41,9.85,370780637
2021-03-18,37,9.61,10.84,9.61,10.84,318572973
2021-03-19,38,10.71,11.92,10.6,11.92,208187304
2021-03-22,39,12.7,13.11,12.26,13.11,126098963
2021-03-23,40,13.99,14.42,13.51,14.42,368367853
2021-03-24,41,13.88,15.13,12.98,13.07,373731150
2021-03-25,42,13.07,13.68,12.03,13.55,349689621
2021-03-26,43,13.19,13.87,12.66,12.96,277584066
2021-03-29,44,12.75,14.26,12.75,14.26,385689504
2021-03-30,45,13.1,13.97,12.83,13.22,317844936
2021-03-31,46,12.6,14.38,12.11,13.45,309202056
2021-04-01,47,13.36,13.65,12.35,12.82,247706812
2021-04-02,48,13.18,13.29,12.0,12.15,207297876
2021-04-06,49,11.9,13.09,11.9,12.88,241655974
2021-04-07,50,13.3,14.17,13.3,14.17,181200209
2021-04-08,51,15.0,15.0,13.03,13.32,317092425
2021-04-09,52,12.7,13.78,12.69,13.25,180421395
2021-04-12,53,13.0,13.84,12.6,13.29,183880852
2021-04-13,54,12.82,13.08,12.0,12.22,174503991
2021-04-14,55,12.37,13.28,11.5,12.8,228575985
2021-04-15,56,12.53,12.85,11.9,12.12,172567181
2021-04-16,57,12.12,12.25,11.65,11.87,111666971
2021-04-19,58,11.88,12.09,11.77,11.93,102684839
2021-04-20,59,11.75,12.22,11.5,11.99,130667381
2021-04-21,60,11.72,11.9,11.24,11.46,124278242
2021-04-22,61,11.33,11.53,11.11,11.2,85393775
2021-04-23,62,11.43,11.5,10.61,10.82,108624691
2021-04-26,63,10.83,11.11,10.45,10.91,83211854
2021-04-27,64,10.68,10.76,10.02,10.12,106038487
2021-04-28,65,10.0,10.25,9.95,10.18,72042164
2021-04-29,66,10.05,10.25,9.97,10.09,58664615
2021-04-30,67,10.02,10.03,9.67,9.78,82249989
2021-05-06,68,9.71,10.28,9.65,10.1,98475736
2021-05-07,69,10.02,10.42,9.57,10.01,96253224
2021-05-10,70,9.9,10.85,9.65,10.8,158370655
2021-05-11,71,10.7,11.58,10.42,11.19,173326562
2021-05-12,72,10.88,11.06,10.5,10.69,100799694
2021-05-13,73,10.52,10.85,10.31,10.42,75379054
2021-05-14,74,10.4,10.73,10.3,10.43,63307159
2021-05-17,75,10.35,10.4,10.1,10.17,65280987
2021-05-18,76,10.11,10.57,10.02,10.4,74387093
2021-05-19,77,10.47,11.3,10.4,11.13,154138048
2021-05-20,78,11.13,11.44,10.68,10.89,153484133
2021-05-21,79,10.77,11.8,10.65,11.49,188899114
2021-05-24,80,11.59,11.9,11.15,11.33,159699084
2021-05-25,81,11.19,11.19,10.73,11.06,105424231
2021-05-26,82,10.9,11.59,10.73,11.25,117920444
2021-05-27,83,11.1,11.54,10.96,11.16,92676072
2021-05-28,84,11.26,11.4,11.0,11.06,80427584
2021-05-31,85,10.95,12.0,10.9,11.7,176302256
2021-06-01,86,11.47,11.69,11.17,11.33,116954129
2021-06-02,87,11.22,11.5,11.02,11.2,92656931
2021-06-03,88,11.1,11.14,10.94,10.97,69818263
2021-06-04,89,10.9,10.91,10.52,10.55,71259046
2021-06-07,90,10.55,10.74,10.4,10.57,40875759
2021-06-08,91,10.57,10.67,10.4,10.44,42994436
2021-06-09,92,10.4,10.4,10.16,10.2,43712985
2021-06-10,93,10.2,10.29,10.12,10.17,36905777
2021-06-11,94,10.16,10.63,10.15,10.47,67097447
2021-06-15,95,10.5,10.55,10.07,10.15,45533448
2021-06-16,96,10.1,10.15,9.45,9.63,60085985
2021-06-17,97,9.63,10.2,9.54,9.95,46594184
2021-06-18,98,9.95,10.08,9.72,10.05,36224050
2021-06-21,99,10.0,10.36,9.95,10.21,44976705
2021-06-22,100,10.22,10.9,9.98,10.62,97767233
2021-06-23,101,10.7,10.74,10.33,10.47,71082957
2021-06-24,102,10.78,10.78,10.35,10.44,55524214
2021-06-25,103,10.3,10.32,10.03,10.15,55535991
2021-06-28,104,10.16,10.56,10.1,10.3,49310134
2021-06-29,105,10.12,10.15,10.01,10.01,39654511
2021-06-30,106,10.01,10.16,9.73,9.94,40748292
2021-07-01,107,9.96,9.99,9.68,9.68,31505601
2021-07-02,108,9.66,9.8,9.55,9.65,23040669
2021-07-05,109,9.65,9.78,9.56,9.71,18334214
2021-07-06,110,9.71,10.09,9.68,9.96,43277237
2021-07-07,111,9.86,9.9,9.7,9.8,32236380
2021-07-08,112,9.92,10.05,9.8,9.82,33313054
2021-07-09,113,9.73,9.9,9.55,9.75,33009285
2021-07-12,114,9.71,9.82,9.67,9.7,31665106
2021-07-13,115,9.68,10.5,9.5,10.24,113271037
2021-07-14,116,10.29,10.63,10.01,10.12,105362339
2021-07-15,117,9.99,9.99,9.65,9.81,56060476
2021-07-16,118,9.86,9.99,9.75,9.77,36498710
2021-07-19,119,9.7,9.71,9.55,9.59,30985016
2021-07-20,120,9.55,9.65,9.51,9.61,21344334
2021-07-21,121,9.55,9.64,9.55,9.57,24908825
2021-07-22,122,9.57,9.63,9.46,9.49,29049739
2021-07-23,123,9.48,9.48,9.11,9.14,46016477
2021-07-26,124,9.05,9.21,8.5,8.95,37944729
2021-07-27,125,8.94,9.02,8.62,8.65,33678881
2021-07-28,126,8.6,8.64,7.85,8.11,39789810
2021-07-29,127,8.13,8.37,8.1,8.16,26409445
2021-07-30,128,8.16,8.44,8.09,8.31,36763461
2021-08-02,129,8.32,8.6,8.18,8.55,37017381
2021-08-03,130,8.5,8.59,8.42,8.47,27138707
2021-08-04,131,8.5,8.58,8.45,8.52,24771269
2021-08-05,132,8.55,8.57,8.33,8.41,23826994
2021-08-06,133,8.41,8.47,8.28,8.33,22273327
2021-08-09,134,8.35,8.56,8.31,8.54,30828013
2021-08-10,135,8.6,8.64,8.46,8.52,22610641
2021-08-11,136,8.52,8.76,8.48,8.62,38350759
2021-08-12,137,8.57,8.57,8.43,8.44,29027914
2021-08-13,138,8.44,8.62,8.3,8.41,27746339
2021-08-16,139,8.42,8.61,8.34,8.52,38982486
2021-08-17,140,8.51,8.6,8.17,8.2,41837216
2021-08-18,141,8.1,8.35,8.1,8.29,25417800
2021-08-19,142,8.19,8.24,8.1,8.16,21293595
2021-08-20,143,8.15,8.15,7.89,7.94,27567660
2021-08-23,144,7.95,8.72,7.95,8.61,86679496
2021-08-24,145,8.6,8.66,8.46,8.47,43836307
2021-08-25,146,8.41,8.45,8.26,8.3,30446866
2021-08-26,147,8.36,8.39,8.0,8.04,34272111
2021-08-27,148,8.04,8.13,7.95,8.0,30323867
2021-08-30,149,8.03,8.07,7.86,7.91,28932107
2021-08-31,150,7.9,7.94,7.72,7.91,25712866
2021-09-01,151,7.87,7.99,7.75,7.89,26196089
2021-09-02,152,7.9,8.26,7.88,8.2,55097497
2021-09-03,153,8.11,8.77,8.1,8.49,80607879
2021-09-06,154,8.62,8.72,8.28,8.46,51795356
2021-09-07,155,8.44,8.62,8.39,8.49,39995605
2021-09-08,156,8.6,8.86,8.52,8.68,65599732
2021-09-09,157,8.76,9.55,8.75,9.55,117074910
2021-09-10,158,9.58,9.58,8.92,9.02,147852346
2021-09-13,159,8.87,8.98,8.7,8.79,62800901
2021-09-14,160,8.76,8.87,8.5,8.5,51181604
2021-09-15,161,8.41,8.76,8.41,8.72,48046842
2021-09-16,162,8.61,8.67,8.4,8.41,40116012
2021-09-17,163,8.46,8.8,8.36,8.74,59167178
2021-09-22,164,8.7,9.46,8.59,9.32,114220040
2021-09-23,165,9.4,9.55,8.98,9.02,95195147
2021-09-24,166,9.05,9.23,8.78,8.9,63083307
2021-09-27,167,9.12,9.67,8.66,9.28,98653904
2021-09-28,168,9.02,9.99,8.98,9.8,160344679
2021-09-29,169,9.45,9.8,9.18,9.31,92882842
2021-09-30,170,9.4,9.65,9.22,9.5,76828602
2021-10-08,171,9.68,9.68,9.04,9.17,60718080
2021-10-11,172,9.16,9.3,8.81,8.91,48175010
2021-10-12,173,8.81,9.11,8.8,9.06,46142896
