,day,open,high,low,close,volume
0,2021-01-19,1.680,2.020,1.680,2.020,5902479
1,2021-01-20,2.220,2.220,2.220,2.220,1262682
2,2021-01-21,2.440,2.440,2.440,2.440,994791
3,2021-01-22,2.680,2.680,2.680,2.680,2936473
4,2021-01-25,2.950,2.950,2.950,2.950,1625298
5,2021-01-26,3.250,3.250,3.250,3.250,1297217
6,2021-01-27,3.580,3.580,3.580,3.580,1408466
7,2021-01-28,3.940,3.940,3.940,3.940,1595289
8,2021-01-29,4.330,4.330,4.330,4.330,4810237
9,2021-02-01,4.760,4.760,4.760,4.760,15180956
10,2021-02-02,5.240,5.240,5.240,5.240,10650171
11,2021-02-03,5.760,5.760,5.760,5.760,5079063
12,2021-02-04,6.340,6.340,6.340,6.340,71258308
13,2021-02-05,6.700,6.970,6.620,6.970,158034902
14,2021-02-08,7.650,7.670,6.930,7.400,443973020
15,2021-02-09,7.510,8.140,7.210,8.140,328792907
16,2021-02-10,8.010,8.550,7.330,7.330,383631005
17,2021-02-18,7.340,7.670,6.980,7.180,295577773
18,2021-02-19,7.020,7.150,6.470,6.700,247701768
19,2021-02-22,6.680,7.100,6.490,6.790,223245071
20,2021-02-23,6.600,6.600,6.180,6.180,194765389
21,2021-02-24,6.090,6.240,5.760,5.810,168469619
22,2021-02-25,5.900,6.100,5.700,6.100,148272935
23,2021-02-26,5.900,6.710,5.870,6.490,228182471
24,2021-03-01,6.330,7.100,6.220,6.850,243256120
25,2021-03-02,7.020,7.540,6.980,7.540,269060513
26,2021-03-03,7.480,8.150,7.100,7.740,318981973
27,2021-03-04,7.550,8.120,7.320,7.610,257009124
28,2021-03-05,7.330,7.580,6.900,6.940,225038856
29,2021-03-08,7.190,7.630,7.130,7.630,121428641
30,2021-03-09,7.800,8.300,7.440,7.670,333320938
31,2021-03-10,6.950,7.870,6.950,7.300,232997765
32,2021-03-11,7.470,7.980,7.130,7.900,260781650
33,2021-03-12,7.810,8.690,7.720,8.690,191936562
34,2021-03-15,9.010,9.560,8.280,8.550,363814035
35,2021-03-16,8.320,9.410,8.320,9.410,307772886
36,2021-03-17,10.000,10.310,9.410,9.850,370780637
37,2021-03-18,9.610,10.840,9.610,10.840,318572973
38,2021-03-19,10.710,11.920,10.600,11.920,208187304
39,2021-03-22,12.700,13.110,12.260,13.110,126098963
40,2021-03-23,13.990,14.420,13.510,14.420,368367853
41,2021-03-24,13.880,15.130,12.980,13.070,373731150
42,2021-03-25,13.070,13.680,12.030,13.550,349689621
43,2021-03-26,13.190,13.870,12.660,12.960,277584066
44,2021-03-29,12.750,14.260,12.750,14.260,385689504
45,2021-03-30,13.100,13.970,12.830,13.220,317844936
46,2021-03-31,12.600,14.380,12.110,13.450,309202056
47,2021-04-01,13.360,13.650,12.350,12.820,247706812
48,2021-04-02,13.180,13.290,12.000,12.150,207297876
49,2021-04-06,11.900,13.090,11.900,12.880,241655974
50,2021-04-07,13.300,14.170,13.300,14.170,181200209
51,2021-04-08,15.000,15.000,13.030,13.320,317092425
52,2021-04-09,12.700,13.780,12.690,13.250,180421395
53,2021-04-12,13.000,13.840,12.600,13.290,183880852
54,2021-04-13,12.820,13.080,12.000,12.220,174503991
55,2021-04-14,12.370,13.280,11.500,12.800,228575985
56,2021-04-15,12.530,12.850,11.900,12.120,172567181
57,2021-04-16,12.120,12.250,11.650,11.870,111666971
58,2021-04-19,11.880,12.090,11.770,11.930,102684839
59,2021-04-20,11.750,12.220,11.500,11.990,130667381
60,2021-04-21,11.720,11.900,11.240,11.460,124278242
61,2021-04-22,11.330,11.530,11.110,11.200,85393775
62,2021-04-23,11.430,11.500,10.610,10.820,108624691
63,2021-04-26,10.830,11.110,10.450,10.910,83211854
64,2021-04-27,10.680,10.760,10.020,10.120,106038487
65,2021-04-28,10.000,10.250,9.950,10.180,72042164
66,2021-04-29,10.050,10.250,9.970,10.090,58664615
67,2021-04-30,10.020,10.030,9.670,9.780,82249989
68,2021-05-06,9.710,10.280,9.650,10.100,98475736
69,2021-05-07,10.020,10.420,9.570,10.010,96253224
70,2021-05-10,9.900,10.850,9.650,10.800,158370655
71,2021-05-11,10.700,11.580,10.420,11.190,173326562
72,2021-05-12,10.880,11.060,10.500,10.690,100799694
73,2021-05-13,10.520,10.850,10.310,10.420,75379054
74,2021-05-14,10.400,10.730,10.300,10.430,63307159
75,2021-05-17,10.350,10.400,10.100,10.170,65280987
76,2021-05-18,10.110,10.570,10.020,10.400,74387093
77,2021-05-19,10.470,11.300,10.400,11.130,154138048
78,2021-05-20,11.130,11.440,10.680,10.890,153484133
79,2021-05-21,10.770,11.800,10.650,11.490,188899114
80,2021-05-24,11.590,11.900,11.150,11.330,159699084
81,2021-05-25,11.190,11.190,10.730,11.060,105424231
82,2021-05-26,10.900,11.590,10.730,11.250,117920444
83,2021-05-27,11.100,11.540,10.960,11.160,92676072
