day,open,high,low,close,volume
2017-09-25,6560.135,6567.998,6484.208,6489.844,7782925000
2017-09-26,6484.341,6520.718,6482.286,6520.718,6776594500
2017-09-27,6523.495,6589.735,6522.204,6583.140,7517127200
2017-09-28,6577.432,6599.127,6565.883,6567.792,7462589200
2017-09-29,6572.450,6611.653,6572.450,6603.259,7093629400
2017-10-09,6682.577,6696.666,6657.531,6678.371,8641966900
2017-10-10,6677.372,6705.718,6658.862,6705.481,8700518600
2017-10-11,6702.690,6703.583,6661.088,6666.470,9074605300
2017-10-12,6658.130,6674.384,6611.975,6659.096,7796096200
2017-10-13,6660.026,6711.931,6659.879,6709.816,7292562100
2017-10-16,6709.874,6709.874,6609.619,6619.206,8587104800
2017-10-17,6604.330,6644.752,6589.542,6612.943,5941924700
2017-10-18,6612.489,6630.669,6557.660,6563.437,7337096600
2017-10-19,6553.868,6562.353,6494.731,6501.400,7261579000
2017-10-20,6489.790,6571.442,6485.805,6571.424,6047931600
2017-10-23,6569.786,6613.031,6562.906,6612.764,6048195300
2017-10-24,6605.521,6605.899,6556.345,6603.004,5917131400
2017-10-25,6596.791,6648.387,6593.075,6647.892,5864690200
2017-10-26,6639.887,6686.119,6630.975,6671.929,7490589400
2017-10-27,6664.429,6673.466,6622.124,6630.807,6792114100
2017-10-30,6621.779,6629.300,6460.048,6511.762,8376417500
2017-10-31,6496.687,6560.253,6496.687,6560.205,6226143600
2017-11-01,6559.522,6586.132,6547.850,6552.955,6463277600
2017-11-02,6541.610,6541.610,6476.373,6484.926,6755234700
2017-11-03,6477.824,6491.048,6395.458,6426.980,6825710200
2017-11-06,6432.074,6512.135,6408.360,6511.096,6671760000
2017-11-07,6508.206,6552.259,6498.393,6551.936,7237767400
2017-11-08,6544.590,6601.467,6534.159,6561.690,7380679800
2017-11-09,6562.358,6611.386,6558.490,6611.352,6881846600
2017-11-10,6599.650,6647.228,6593.033,6641.216,8001249700
2017-11-13,6644.692,6671.256,6624.671,6671.205,8459671200
2017-11-14,6664.612,6673.750,6588.253,6614.514,8474906100
2017-11-15,6592.758,6603.508,6505.992,6537.656,7394918100
2017-11-16,6529.314,6570.276,6511.903,6558.309,6794015900
2017-11-17,6549.224,6555.746,6359.518,6361.942,8901897200
2017-11-20,6330.905,6433.779,6239.321,6433.170,7006670500
2017-11-21,6420.388,6473.701,6397.358,6456.352,6775458000
2017-11-22,6456.324,6483.628,6391.456,6439.442,7089592400
2017-11-23,6427.576,6427.576,6274.512,6274.512,7500973200
2017-11-24,6250.057,6307.890,6243.963,6278.029,5904905600
2017-11-27,6269.226,6279.588,6186.034,6194.552,5940749100
2017-11-28,6188.089,6299.312,6188.089,6299.312,5647823400
2017-11-29,6293.246,6329.177,6245.060,6318.368,7656391500
2017-11-30,6303.918,6322.044,6248.183,6263.421,6088335500
2017-12-01,6259.956,6323.835,6256.228,6316.407,5474628200
2017-12-04,6311.216,6334.871,6272.669,6279.621,6018816900
2017-12-05,6265.787,6279.393,6099.407,6132.912,6969023200
2017-12-06,6116.161,6173.351,6053.241,6172.803,6026721300
2017-12-07,6156.351,6182.753,6130.834,6135.470,5309797200
2017-12-08,6128.121,6217.573,6126.377,6203.143,5557924400
2017-12-11,6214.645,6286.500,6214.645,6286.166,6111290600
2017-12-12,6281.139,6290.847,6233.212,6233.212,5661439700
2017-12-13,6224.782,6277.725,6217.787,6277.441,5035200100
2017-12-14,6273.607,6288.502,6247.677,6284.081,5575924000
2017-12-15,6274.098,6278.926,6214.647,6235.761,6193811200
2017-12-18,6229.742,6247.592,6179.028,6199.989,5377219000
2017-12-19,6200.934,6251.492,6200.707,6251.242,5263930800
2017-12-20,6244.062,6246.910,6188.324,6199.363,5781453200
2017-12-21,6191.781,6255.843,6148.817,6238.499,5924585900
2017-12-22,6236.226,6269.314,6235.226,6242.885,5501064400
2017-12-25,6244.864,6257.021,6170.682,6185.591,6126471200
2017-12-26,6179.560,6220.499,6148.104,6220.147,5767165600
2017-12-27,6213.243,6228.883,6168.131,6173.153,6419752900
2017-12-28,6163.964,6219.539,6157.105,6204.270,6587754200
2017-12-29,6201.455,6250.821,6201.455,6250.821,5716563100
2018-01-02,6263.151,6332.609,6258.156,6332.227,7303223500
2018-01-03,6331.720,6391.980,6324.260,6388.253,8393674500
2018-01-04,6380.267,6418.256,6375.513,6417.535,8054369000
2018-01-05,6414.766,6435.854,6397.293,6417.254,8158101800
2018-01-08,6413.873,6446.788,6393.882,6446.182,8947692900
2018-01-09,6441.684,6449.035,6425.027,6445.746,7557321700
2018-01-10,6443.461,6444.309,6361.095,6405.940,8096697400
2018-01-11,6391.904,6432.440,6371.544,6425.940,7877007100
2018-01-12,6418.827,6435.195,6387.782,6399.374,7783455800
2018-01-15,6391.366,6392.517,6236.563,6253.376,9147403200
2018-01-16,6245.153,6301.405,6245.113,6301.133,7916973400
