日期,沪深300,融资余额
2020-12-16,4953.87,14675.0
2020-12-15,4945.10,14669.0
2020-12-14,4934.84,14668.0
2020-12-11,4889.63,14639.0
2020-12-10,4940.52,14686.0
2020-12-09,4942.70,14692.0
2020-12-08,5009.88,14741.0
2020-12-07,5022.24,14740.0
2020-12-04,5065.92,14691.0
2020-12-03,5057.06,14701.0
2020-12-02,5067.14,14694.0
2020-12-01,5067.10,14630.0
2020-11-30,4960.25,14572.0
2020-11-27,4980.77,14525.0
2020-11-26,4919.59,14574.0
2020-11-25,4910.70,14605.0
2020-11-24,4974.29,14587.0
2020-11-23,5005.03,14542.0
2020-11-20,4943.29,14452.0
2020-11-19,4927.99,14464.0
2020-11-18,4891.67,14474.0
2020-11-17,4894.79,14459.0
2020-11-16,4904.17,14444.0
2020-11-13,4856.85,14389.0
2020-11-12,4908.46,14396.0
2020-11-11,4904.90,14400.0
2020-11-10,4953.88,14417.0
2020-11-09,4981.35,14393.0
2020-11-06,4885.72,14285.0
2020-11-05,4885.11,14285.0
2020-11-04,4813.66,14230.0
2020-11-03,4777.56,14194.0
2020-11-02,4720.83,14164.0
2020-10-30,4695.33,14149.0
2020-10-29,4772.92,14225.0
2020-10-28,4737.27,14199.0
2020-10-27,4699.28,14172.0
2020-10-26,4691.24,14171.0
2020-10-23,4718.49,14196.0
2020-10-22,4777.98,14293.0
2020-10-21,4792.83,14275.0
2020-10-20,4793.47,14284.0
2020-10-19,4755.49,14257.0
2020-10-16,4791.68,14238.0
2020-10-15,4798.74,14279.0
2020-10-14,4807.10,14268.0
2020-10-13,4839.20,14201.0
2020-10-12,4823.16,14114.0
2020-10-09,4681.14,13995.0
2020-09-30,4587.40,13887.0
